Date,Open,High,Low,Close,Volume
2016-07-18,2.7200000286102295,3.200000047683716,2.7200000286102295,2.880000114440918,1175
2016-07-19,2.880000114440918,2.880000114440918,2.7200000286102295,2.7200000286102295,1281
2016-07-20,3.0399999618530273,3.0399999618530273,2.7200000286102295,2.880000114440918,3538
2016-07-21,2.880000114440918,3.0399999618530273,2.880000114440918,2.880000114440918,581
2016-07-22,3.200000047683716,3.680000066757202,3.200000047683716,3.680000066757202,5100
2016-07-25,3.200000047683716,3.359999895095825,3.200000047683716,3.359999895095825,988
2016-07-26,3.359999895095825,3.359999895095825,3.359999895095825,3.359999895095825,2188
2016-07-27,4.0,4.0,3.359999895095825,3.8399999141693115,2919
2016-07-28,3.680000066757202,3.680000066757202,3.5199999809265137,3.5199999809265137,4381
2016-07-29,3.5199999809265137,3.8399999141693115,3.5199999809265137,3.680000066757202,5519
2016-08-01,3.680000066757202,3.680000066757202,3.200000047683716,3.359999895095825,1375
2016-08-02,3.680000066757202,3.680000066757202,3.200000047683716,3.5199999809265137,2138
2016-08-03,3.680000066757202,3.680000066757202,3.200000047683716,3.5199999809265137,1894
2016-08-04,3.680000066757202,3.680000066757202,3.5199999809265137,3.680000066757202,488
2016-08-05,3.680000066757202,3.680000066757202,3.680000066757202,3.680000066757202,506
2016-08-08,2.880000114440918,3.680000066757202,2.880000114440918,3.5199999809265137,1725
2016-08-09,3.5199999809265137,3.5199999809265137,3.200000047683716,3.200000047683716,2419
2016-08-10,3.200000047683716,3.200000047683716,2.880000114440918,3.200000047683716,4719
2016-08-11,2.880000114440918,3.359999895095825,2.880000114440918,3.0399999618530273,619
2016-08-12,3.0399999618530273,3.359999895095825,3.0399999618530273,3.359999895095825,3688
2016-08-15,3.5199999809265137,3.5199999809265137,3.200000047683716,3.359999895095825,1756
2016-08-16,3.680000066757202,3.680000066757202,3.200000047683716,3.200000047683716,4238
2016-08-17,3.359999895095825,3.680000066757202,3.200000047683716,3.200000047683716,831
2016-08-18,2.7200000286102295,3.200000047683716,2.7200000286102295,3.200000047683716,1188
2016-08-19,2.880000114440918,3.200000047683716,2.7200000286102295,3.200000047683716,1306
2016-08-22,2.880000114440918,3.680000066757202,2.880000114440918,3.0399999618530273,7144
2016-08-23,3.359999895095825,3.359999895095825,2.240000009536743,2.559999942779541,10831
2016-08-24,2.4000000953674316,3.200000047683716,2.4000000953674316,3.200000047683716,3431
2016-08-25,2.880000114440918,3.200000047683716,2.880000114440918,2.880000114440918,5306
2016-08-26,3.200000047683716,3.200000047683716,2.880000114440918,2.880000114440918,350
2016-08-29,2.880000114440918,3.0399999618530273,2.880000114440918,3.0399999618530273,719
2016-08-30,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,481
2016-08-31,3.200000047683716,3.200000047683716,3.200000047683716,3.200000047683716,106
2016-09-01,3.0399999618530273,3.680000066757202,2.880000114440918,3.5199999809265137,2725
2016-09-02,3.5199999809265137,3.5199999809265137,3.200000047683716,3.200000047683716,1569
2016-09-06,3.200000047683716,3.200000047683716,3.0399999618530273,3.0399999618530273,1119
2016-09-07,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,244
2016-09-08,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,613
2016-09-09,3.0399999618530273,3.200000047683716,3.0399999618530273,3.0399999618530273,231
2016-09-12,3.0399999618530273,3.200000047683716,3.0399999618530273,3.200000047683716,2000
2016-09-13,3.5199999809265137,3.680000066757202,3.0399999618530273,3.0399999618530273,7300
2016-09-14,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,394
2016-09-15,3.5199999809265137,3.5199999809265137,3.0399999618530273,3.0399999618530273,525
2016-09-16,3.5199999809265137,3.680000066757202,3.5199999809265137,3.680000066757202,850
2016-09-19,3.680000066757202,3.680000066757202,3.0399999618530273,3.0399999618530273,444
2016-09-20,3.0399999618530273,3.200000047683716,3.0399999618530273,3.0399999618530273,1069
2016-09-21,3.200000047683716,3.200000047683716,2.7200000286102295,2.7200000286102295,463
2016-09-22,3.200000047683716,3.359999895095825,3.0399999618530273,3.359999895095825,1150
2016-09-23,3.359999895095825,3.5199999809265137,3.0399999618530273,3.5199999809265137,825
2016-09-26,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,163
2016-09-27,3.200000047683716,3.200000047683716,3.0399999618530273,3.0399999618530273,806
2016-09-28,3.200000047683716,3.200000047683716,2.7200000286102295,2.7200000286102295,6106
2016-09-29,2.880000114440918,2.880000114440918,2.559999942779541,2.7200000286102295,8988
2016-09-30,2.559999942779541,3.359999895095825,2.559999942779541,3.200000047683716,1356
2016-10-03,3.200000047683716,3.200000047683716,3.200000047683716,3.200000047683716,756
2016-10-04,3.200000047683716,3.5199999809265137,3.200000047683716,3.200000047683716,3831
2016-10-05,3.5199999809265137,3.5199999809265137,3.0399999618530273,3.200000047683716,3025
2016-10-06,3.5199999809265137,3.5199999809265137,3.0399999618530273,3.0399999618530273,2000
2016-10-07,3.0399999618530273,3.359999895095825,3.0399999618530273,3.0399999618530273,188
2016-10-10,3.0399999618530273,3.359999895095825,3.0399999618530273,3.0399999618530273,9775
2016-10-11,2.880000114440918,2.880000114440918,2.880000114440918,2.880000114440918,206
2016-10-12,2.880000114440918,2.880000114440918,2.880000114440918,2.880000114440918,0
2016-10-13,3.0399999618530273,3.0399999618530273,2.880000114440918,3.0399999618530273,2369
2016-10-14,2.880000114440918,2.880000114440918,2.559999942779541,2.7200000286102295,6550
2016-10-17,2.559999942779541,3.0399999618530273,2.4000000953674316,3.0399999618530273,9244
2016-10-18,2.880000114440918,2.880000114440918,2.7200000286102295,2.880000114440918,569
2016-10-19,2.880000114440918,3.359999895095825,2.880000114440918,2.880000114440918,3438
2016-10-20,2.880000114440918,3.200000047683716,2.880000114440918,3.0399999618530273,1213
2016-10-21,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,188
2016-10-24,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,356
2016-10-25,2.880000114440918,3.200000047683716,2.7200000286102295,2.7200000286102295,5850
2016-10-26,2.7200000286102295,2.7200000286102295,2.4000000953674316,2.7200000286102295,4281
2016-10-27,2.559999942779541,2.7200000286102295,2.559999942779541,2.7200000286102295,3263
2016-10-28,2.559999942779541,2.7200000286102295,2.240000009536743,2.7200000286102295,12338
2016-10-31,2.7200000286102295,2.7200000286102295,2.559999942779541,2.559999942779541,1094
2016-11-01,2.559999942779541,2.7200000286102295,2.559999942779541,2.559999942779541,1256
2016-11-02,2.559999942779541,2.559999942779541,2.559999942779541,2.559999942779541,313
2016-11-03,2.559999942779541,2.559999942779541,2.4000000953674316,2.4000000953674316,2425
2016-11-04,2.559999942779541,2.559999942779541,2.559999942779541,2.559999942779541,63
2016-11-07,2.559999942779541,2.559999942779541,2.4000000953674316,2.559999942779541,888
2016-11-08,2.559999942779541,3.0399999618530273,2.559999942779541,2.559999942779541,1963
2016-11-09,2.559999942779541,2.559999942779541,2.559999942779541,2.559999942779541,1413
2016-11-10,2.559999942779541,3.0399999618530273,2.559999942779541,2.880000114440918,6244
2016-11-11,2.559999942779541,3.0399999618530273,2.559999942779541,3.0399999618530273,4306
2016-11-14,2.7200000286102295,3.200000047683716,2.559999942779541,3.0399999618530273,3044
2016-11-15,3.200000047683716,3.200000047683716,2.7200000286102295,2.880000114440918,11081
2016-11-16,2.880000114440918,2.880000114440918,2.7200000286102295,2.7200000286102295,3900
2016-11-17,2.880000114440918,2.880000114440918,2.559999942779541,2.559999942779541,425
2016-11-18,3.0399999618530273,3.0399999618530273,2.559999942779541,2.559999942779541,931
2016-11-21,2.559999942779541,2.880000114440918,2.559999942779541,2.559999942779541,3213
2016-11-22,2.7200000286102295,2.7200000286102295,2.559999942779541,2.559999942779541,1131
2016-11-23,2.7200000286102295,3.0399999618530273,2.559999942779541,2.7200000286102295,2075
2016-11-25,2.880000114440918,2.880000114440918,2.880000114440918,2.880000114440918,2069
2016-11-28,2.880000114440918,3.0399999618530273,2.7200000286102295,3.0399999618530273,3975
2016-11-29,2.7200000286102295,3.0399999618530273,2.7200000286102295,2.7200000286102295,3300
2016-11-30,2.880000114440918,3.200000047683716,2.7200000286102295,3.0399999618530273,5119
2016-12-01,3.0399999618530273,3.200000047683716,2.880000114440918,2.880000114440918,1938
2016-12-02,2.880000114440918,2.880000114440918,2.7200000286102295,2.7200000286102295,9238
2016-12-05,2.7200000286102295,2.880000114440918,2.7200000286102295,2.7200000286102295,4738
2016-12-06,2.7200000286102295,2.880000114440918,2.7200000286102295,2.880000114440918,2113
2016-12-07,2.7200000286102295,2.880000114440918,2.7200000286102295,2.880000114440918,850
2016-12-08,2.7200000286102295,2.880000114440918,2.7200000286102295,2.880000114440918,1219
2016-12-09,2.880000114440918,2.880000114440918,2.7200000286102295,2.880000114440918,6263
2016-12-12,2.880000114440918,2.880000114440918,2.7200000286102295,2.880000114440918,3438
2016-12-13,2.880000114440918,2.880000114440918,2.880000114440918,2.880000114440918,4450
2016-12-14,2.880000114440918,2.880000114440918,2.7200000286102295,2.7200000286102295,5175
2016-12-15,2.7200000286102295,2.880000114440918,2.7200000286102295,2.880000114440918,3813
2016-12-16,2.7200000286102295,2.880000114440918,2.7200000286102295,2.880000114440918,1094
2016-12-19,2.7200000286102295,3.0399999618530273,2.7200000286102295,3.0399999618530273,8544
2016-12-20,3.0399999618530273,3.0399999618530273,2.7200000286102295,2.880000114440918,13006
2016-12-21,2.880000114440918,2.880000114440918,2.7200000286102295,2.7200000286102295,6450
2016-12-22,2.7200000286102295,2.880000114440918,2.7200000286102295,2.880000114440918,8488
2016-12-23,2.7200000286102295,3.0399999618530273,2.7200000286102295,2.7200000286102295,9600
2016-12-27,2.880000114440918,3.359999895095825,2.7200000286102295,3.0399999618530273,6331
2016-12-28,3.0399999618530273,3.0399999618530273,2.7200000286102295,2.880000114440918,5006
2016-12-29,2.880000114440918,3.0399999618530273,2.880000114440918,2.880000114440918,2450
2016-12-30,2.880000114440918,3.0399999618530273,2.880000114440918,2.880000114440918,4538
2017-01-03,3.0399999618530273,3.0399999618530273,2.880000114440918,3.0399999618530273,3106
2017-01-04,3.0399999618530273,3.0399999618530273,2.880000114440918,3.0399999618530273,1844
2017-01-05,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,1125
2017-01-06,3.0399999618530273,3.0399999618530273,2.880000114440918,3.0399999618530273,2475
2017-01-09,3.0399999618530273,3.0399999618530273,2.880000114440918,3.0399999618530273,3319
2017-01-10,3.0399999618530273,3.0399999618530273,2.880000114440918,2.880000114440918,3763
2017-01-11,3.0399999618530273,3.359999895095825,2.880000114440918,3.0399999618530273,4181
2017-01-12,3.0399999618530273,3.5199999809265137,3.0399999618530273,3.0399999618530273,6088
2017-01-13,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,2838
2017-01-17,3.359999895095825,3.359999895095825,3.0399999618530273,3.200000047683716,8500
2017-01-18,3.0399999618530273,3.359999895095825,3.0399999618530273,3.359999895095825,4200
2017-01-19,3.359999895095825,3.680000066757202,3.0399999618530273,3.680000066757202,7138
2017-01-20,3.8399999141693115,4.0,3.680000066757202,3.680000066757202,11281
2017-01-23,3.8399999141693115,5.440000057220459,3.680000066757202,4.800000190734863,19544
2017-01-24,5.28000020980835,5.599999904632568,4.800000190734863,4.800000190734863,12781
2017-01-25,4.800000190734863,4.800000190734863,3.680000066757202,4.639999866485596,8269
2017-01-26,4.800000190734863,5.440000057220459,4.800000190734863,5.119999885559082,19631
2017-01-27,5.119999885559082,5.599999904632568,4.639999866485596,4.639999866485596,6944
2017-01-30,5.119999885559082,5.119999885559082,4.639999866485596,5.119999885559082,4419
