Date,Open,High,Low,Close,Volume
2016-07-18,72.5,72.5,70.0,70.0,36
2016-07-19,70.25,70.25,66.25,66.25,256
2016-07-20,66.25,66.25,66.25,66.25,0
2016-07-21,65.5,65.5,62.75,65.5,1084
2016-07-22,65.5,65.5,65.5,65.5,156
2016-07-25,65.25,65.25,56.75,56.75,44
2016-07-26,56.25,62.25,53.75,62.25,156
2016-07-27,57.5,60.25,57.5,60.0,180
2016-07-28,60.0,60.0,57.5,57.5,268
2016-07-29,56.25,56.25,53.75,55.5,120
2016-08-01,55.5,55.5,55.5,55.5,60
2016-08-02,55.5,55.5,46.0,55.0,872
2016-08-03,46.75,55.0,46.75,53.75,180
2016-08-04,54.25,58.5,54.25,58.5,140
2016-08-05,57.5,58.25,57.5,58.25,144
2016-08-08,58.25,58.25,58.25,58.25,680
2016-08-09,58.0,62.25,58.0,58.5,132
2016-08-10,58.0,62.25,57.0,62.25,344
2016-08-11,57.25,57.25,57.25,57.25,8
2016-08-12,60.0,62.5,57.75,62.25,284
2016-08-15,57.75,58.75,57.75,58.75,44
2016-08-16,57.75,60.5,57.0,60.5,132
2016-08-17,57.25,62.0,57.25,62.0,136
2016-08-18,57.5,62.0,57.5,62.0,92
2016-08-19,59.25,62.0,59.25,62.0,128
2016-08-22,59.0,59.0,57.0,59.0,492
2016-08-23,56.25,69.0,56.0,65.5,2020
2016-08-24,67.25,67.5,66.25,66.25,1024
2016-08-25,66.25,67.5,66.25,67.5,360
2016-08-26,67.0,67.0,66.25,66.25,380
2016-08-29,66.25,66.25,65.0,65.0,220
2016-08-30,65.0,66.75,65.0,66.75,372
2016-08-31,67.5,67.5,66.25,66.25,160
2016-09-01,66.25,66.25,66.0,66.0,16
2016-09-02,68.0,68.5,66.25,68.5,1200
2016-09-06,64.5,65.0,64.5,64.5,196
2016-09-07,68.0,68.0,68.0,68.0,8
2016-09-08,68.5,70.5,64.5,67.5,1980
2016-09-09,68.75,71.75,68.5,71.75,1300
2016-09-12,72.5,78.5,72.5,78.5,2432
2016-09-13,79.0,80.0,66.25,78.75,1552
2016-09-14,78.5,78.75,77.5,77.75,116
2016-09-15,77.75,77.75,71.25,71.25,2704
2016-09-16,71.25,71.25,68.75,70.0,800
2016-09-19,71.25,75.0,71.25,75.0,104
2016-09-20,68.5,75.0,68.5,70.25,184
2016-09-21,70.25,70.25,70.25,70.25,0
2016-09-22,70.25,77.5,70.25,77.5,856
2016-09-23,80.0,80.0,71.25,79.75,112
2016-09-26,80.0,80.0,78.5,78.75,724
2016-09-27,75.0,76.5,75.0,76.5,232
2016-09-28,76.25,76.25,76.25,76.25,24
2016-09-29,77.75,77.75,77.75,77.75,16
2016-09-30,72.0,79.75,72.0,76.25,1460
2016-10-03,76.25,77.5,76.25,77.25,88
2016-10-04,70.0,77.25,69.75,77.25,188
2016-10-05,76.25,76.25,76.25,76.25,152
2016-10-06,75.0,75.25,75.0,75.0,204
2016-10-07,76.25,76.25,76.25,76.25,20
2016-10-10,75.0,75.0,75.0,75.0,4
2016-10-11,70.0,78.75,70.0,72.75,172
2016-10-12,73.5,73.5,68.75,70.5,464
2016-10-13,68.5,70.0,68.5,70.0,48
2016-10-14,70.0,74.75,68.75,74.75,56
2016-10-17,74.5,74.5,68.75,71.5,272
2016-10-18,68.5,74.5,68.5,74.5,88
2016-10-19,69.25,70.75,69.25,70.75,100
2016-10-20,70.75,70.75,70.75,70.75,0
2016-10-21,71.25,75.0,70.0,74.75,540
2016-10-24,74.75,74.75,74.75,74.75,40
2016-10-25,62.5,73.75,62.5,73.75,560
2016-10-26,73.5,73.5,68.75,70.0,236
2016-10-27,70.0,71.25,68.5,68.5,204
2016-10-28,72.75,73.0,68.75,72.75,852
2016-10-31,71.25,71.25,71.25,71.25,8
2016-11-01,65.25,71.25,65.25,71.25,712
2016-11-02,71.25,75.0,65.0,66.25,272
2016-11-03,66.25,68.75,66.25,68.75,48
2016-11-04,66.25,66.25,66.25,66.25,8
2016-11-07,70.0,70.0,65.0,65.0,176
2016-11-08,67.5,67.5,60.0,60.0,624
2016-11-09,61.25,61.25,61.25,61.25,16
2016-11-10,66.25,66.25,65.0,65.0,420
2016-11-11,62.5,65.0,62.5,65.0,96
2016-11-14,65.0,65.0,62.5,62.5,164
2016-11-15,65.75,65.75,62.5,62.5,80
2016-11-16,63.5,63.5,63.5,63.5,60
2016-11-17,65.0,65.5,65.0,65.0,376
2016-11-18,65.0,65.0,65.0,65.0,0
2016-11-21,68.75,68.75,65.0,65.0,280
2016-11-22,65.5,68.75,62.75,68.75,316
2016-11-23,62.75,62.75,62.75,62.75,80
2016-11-25,65.0,68.75,65.0,68.75,16
2016-11-28,62.75,62.75,62.75,62.75,80
2016-11-29,62.5,62.5,62.5,62.5,420
2016-11-30,62.5,62.5,60.0,60.0,260
2016-12-01,59.0,64.75,59.0,64.75,368
2016-12-02,65.0,65.0,59.75,59.75,80
2016-12-05,62.25,62.5,62.25,62.5,160
2016-12-06,59.0,60.0,56.25,59.0,296
2016-12-07,60.0,60.0,58.25,60.0,432
2016-12-08,58.25,61.25,58.25,59.0,240
2016-12-09,58.25,58.25,58.25,58.25,8
2016-12-12,58.25,58.25,58.25,58.25,120
2016-12-13,58.25,60.0,55.0,60.0,492
2016-12-14,60.0,60.0,55.25,55.25,176
2016-12-15,51.25,56.25,49.25,56.25,740
2016-12-16,54.75,55.0,53.75,55.0,104
2016-12-19,50.75,54.25,49.25,54.25,184
2016-12-20,50.5,54.25,49.25,54.25,232
2016-12-21,51.25,51.25,50.0,50.0,40
2016-12-22,52.25,52.5,52.25,52.5,156
2016-12-23,53.5,53.75,53.5,53.75,52
2016-12-27,50.25,55.75,50.25,55.75,496
2016-12-28,53.75,53.75,53.75,53.75,84
2016-12-29,53.75,57.5,53.75,57.5,1268
2016-12-30,57.5,60.0,57.5,58.75,144
2017-01-03,55.75,55.75,52.5,53.75,196
2017-01-04,57.5,57.5,57.5,57.5,36
2017-01-05,57.5,57.5,57.5,57.5,4
2017-01-06,56.75,56.75,56.25,56.25,112
2017-01-09,58.75,60.5,53.5,57.5,100
2017-01-10,53.25,53.5,53.25,53.5,120
2017-01-11,53.5,57.5,53.25,57.5,80
2017-01-12,56.25,56.25,52.5,52.5,92
2017-01-13,56.25,60.5,54.0,54.0,248
2017-01-17,54.0,60.5,51.25,60.0,912
2017-01-18,60.0,60.0,53.75,53.75,96
2017-01-19,54.0,54.75,53.75,54.75,104
2017-01-20,54.75,54.75,54.75,54.75,0
2017-01-23,54.75,54.75,54.75,54.75,12
2017-01-24,52.5,54.75,51.5,52.0,460
2017-01-25,52.5,53.0,52.5,53.0,316
2017-01-26,54.0,60.0,51.5,56.0,228
2017-01-27,56.0,56.0,56.0,56.0,0
2017-01-30,55.5,55.5,51.5,51.5,16
2017-01-31,53.5,55.75,50.0,53.75,504
2017-02-01,53.75,53.75,53.75,53.75,20
2017-02-02,51.0,55.75,49.25,55.0,456
2017-02-03,49.5,55.0,49.5,55.0,16
2017-02-06,55.0,55.0,55.0,55.0,0
2017-02-07,49.5,51.75,49.5,51.75,344
2017-02-08,51.75,51.75,51.75,51.75,16
