Date,Open,High,Low,Close,Volume
2021-09-27,300.0,300.0,242.5,245.4499969482422,13840.0
2021-09-28,245.25,246.0,245.25,245.72500610351562,40.0
2021-09-29,246.27499389648438,246.27499389648438,246.27499389648438,246.27499389648438,4.0
2021-09-30,247.0,247.0,245.5,245.5,980.0
2021-10-01,245.5,245.5,245.5,245.5,48.0
2021-10-04,269.0,269.0,245.0,245.25,2768.0
2021-10-05,245.0,245.25,245.0,245.25,8084.0
2021-10-06,245.75,245.75,245.5,245.5,140.0
2021-10-07,245.75,245.75,245.5,245.5,1012.0
2021-10-08,245.5,245.5,245.5,245.5,124.0
2021-10-11,245.5,245.5,245.5,245.5,0.0
2021-10-12,245.75,245.75,245.5,245.75,1208.0
2021-10-13,245.75,245.75,245.75,245.75,12.0
2021-10-14,245.75,245.75,245.75,245.75,0.0
2021-10-15,245.875,246.5,245.875,246.5,2408.0
2021-10-18,246.5,246.5,246.5,246.5,0.0
2021-10-19,253.0,253.0,250.0,250.0,8416.0
2021-10-20,247.0,247.0,245.75,245.75,48.0
2021-10-21,245.75,245.75,245.75,245.75,0.0
2021-10-22,250.0,250.0,248.5,248.75,260.0
2021-10-25,250.0,250.0,248.0,248.0,24.0
2021-10-26,248.0,248.0,248.0,248.0,4.0
2021-10-27,248.0,248.0,248.0,248.0,0.0
2021-10-28,248.0,248.0,248.0,248.0,0.0
2021-10-29,247.5,247.5,247.5,247.5,11824.0
2021-11-01,247.5,247.5,247.5,247.5,0.0
2021-11-02,247.5,247.5,247.5,247.5,0.0
2021-11-03,247.5,247.5,247.5,247.5,0.0
2021-11-04,247.5,247.5,247.5,247.5,0.0
2021-11-05,247.25,247.25,247.25,247.25,80.0
2021-11-08,247.25,247.25,247.25,247.25,0.0
2021-11-09,247.25,247.25,247.25,247.25,80.0
2021-11-10,246.5,246.5,246.125,246.5,10408.0
2021-11-11,246.5,246.5,246.5,246.5,0.0
2021-11-12,246.5,246.5,246.5,246.5,0.0
2021-11-15,247.25,247.25,247.25,247.25,160.0
2021-11-16,247.25,247.27499389648438,247.25,247.27499389648438,284.0
2021-11-17,247.25,247.25,247.25,247.25,4.0
2021-11-18,246.0,246.0,246.0,246.0,4.0
2021-11-19,246.0,247.25,246.0,247.25,96.0
2021-11-22,247.25,248.0,247.25,248.0,92.0
2021-11-23,248.0,248.0,248.0,248.0,0.0
2021-11-24,248.0,248.0,248.0,248.0,0.0
2021-11-26,248.0,248.0,248.0,248.0,0.0
2021-11-29,248.0,248.0,248.0,248.0,0.0
2021-11-30,246.25,246.25,246.25,246.25,8.0
2021-12-01,246.25,246.25,246.25,246.25,0.0
2021-12-02,246.25,246.25,246.25,246.25,0.0
2021-12-03,246.25,246.25,246.25,246.25,0.0
2021-12-06,246.25,246.25,246.25,246.25,0.0
2021-12-07,248.0,248.0,248.0,248.0,12.0
2021-12-08,248.0,248.0,248.0,248.0,0.0
2021-12-09,248.0,248.0,248.0,248.0,80.0
2021-12-10,248.0,248.0,248.0,248.0,404.0
2021-12-13,248.0,248.0,248.0,248.0,4.0
2021-12-14,247.75,247.75,247.75,247.75,8000.0
2021-12-15,247.75,247.75,247.75,247.75,8.0
2021-12-16,248.0,248.0,248.0,248.0,8.0
2021-12-17,248.0,248.0,248.0,248.0,8.0
2021-12-20,246.25,248.0,246.25,248.0,60.0
2021-12-21,248.0,248.0,248.0,248.0,12.0
2021-12-22,247.5,247.5,247.5,247.5,76.0
2021-12-23,248.0,248.0,248.0,248.0,28.0
2021-12-27,248.0,248.0,248.0,248.0,0.0
2021-12-28,248.0,248.0,248.0,248.0,8.0
2021-12-29,248.0,248.0,248.0,248.0,0.0
2021-12-30,246.25,246.25,246.25,246.25,8.0
2021-12-31,246.25,246.25,246.25,246.25,0.0
2022-01-03,246.25,246.25,246.25,246.25,0.0
2022-01-04,247.25,247.25,247.25,247.25,132.0
2022-01-05,247.25,247.25,247.25,247.25,16.0
2022-01-06,247.5,247.5,247.25,247.25,152.0
2022-01-07,247.25,247.25,247.25,247.25,0.0
2022-01-10,247.25,247.25,247.25,247.25,0.0
2022-01-11,247.25,247.25,247.25,247.25,0.0
2022-01-12,247.25,247.25,247.25,247.25,0.0
2022-01-13,247.75,248.0,247.75,248.0,188.0
