Date,Open,High,Low,Close,Volume
2016-07-18,128.27999877929688,128.72999572753906,127.02999877929688,127.16999816894531,70700
2016-07-19,126.58999633789062,127.62000274658203,125.45999908447266,127.58999633789062,40000
2016-07-20,127.88999938964844,128.47000122070312,127.05999755859375,127.1500015258789,68500
2016-07-21,127.19999694824219,128.52000427246094,127.13999938964844,128.24000549316406,93700
2016-07-22,128.4600067138672,129.97999572753906,127.83999633789062,129.27000427246094,58500
2016-07-25,129.4600067138672,130.17999267578125,128.6199951171875,129.3800048828125,81600
2016-07-26,129.75,131.80999755859375,128.41000366210938,129.4499969482422,105100
2016-07-27,129.85000610351562,129.85000610351562,127.98999786376953,128.22000122070312,118400
2016-07-28,128.30999755859375,130.8800048828125,128.0,129.86000061035156,136200
2016-07-29,129.83999633789062,132.05999755859375,129.22000122070312,129.9600067138672,376900
2016-08-01,130.22999572753906,130.22999572753906,128.50999450683594,129.5,115000
2016-08-02,129.74000549316406,130.77999877929688,127.62000274658203,128.22000122070312,96100
2016-08-03,128.24000549316406,128.24000549316406,126.08000183105469,127.51000213623047,69300
2016-08-04,127.66000366210938,128.1699981689453,127.2300033569336,127.87999725341797,79600
2016-08-05,128.4600067138672,128.9600067138672,127.98999786376953,128.8000030517578,80500
2016-08-08,128.33999633789062,128.88999938964844,127.80000305175781,128.77999877929688,56600
2016-08-09,128.6999969482422,130.0399932861328,128.2100067138672,129.1699981689453,133900
2016-08-10,129.4199981689453,136.05999755859375,129.2100067138672,131.24000549316406,98900
2016-08-11,130.55999755859375,131.30999755859375,129.57000732421875,130.50999450683594,70700
2016-08-12,130.47999572753906,131.17999267578125,129.89999389648438,130.91000366210938,93600
2016-08-15,131.27000427246094,134.74000549316406,129.27999877929688,129.85000610351562,141900
2016-08-16,130.08999633789062,130.08999633789062,126.30000305175781,126.5199966430664,121300
2016-08-17,126.23999786376953,126.4800033569336,125.41999816894531,126.16000366210938,184200
2016-08-18,120.0,131.3300018310547,117.5,130.0800018310547,183800
2016-08-19,130.4499969482422,133.8000030517578,130.4499969482422,133.1300048828125,161800
2016-08-22,133.30999755859375,134.2899932861328,132.27000427246094,133.80999755859375,101800
2016-08-23,134.55999755859375,137.7100067138672,133.16000366210938,133.86000061035156,62100
2016-08-24,133.3300018310547,133.9199981689453,132.7100067138672,133.80999755859375,67800
2016-08-25,134.11000061035156,135.64999389648438,132.50999450683594,134.63999938964844,75300
2016-08-26,134.8000030517578,135.16000366210938,133.0399932861328,133.94000244140625,56000
2016-08-29,134.47000122070312,134.75,133.1999969482422,133.8699951171875,105800
2016-08-30,134.39999389648438,134.39999389648438,132.6199951171875,134.05999755859375,84500
2016-08-31,134.5399932861328,135.11000061035156,133.38999938964844,134.52999877929688,90700
2016-09-01,134.85000610351562,134.85000610351562,133.22000122070312,134.57000732421875,70600
2016-09-02,135.02999877929688,136.5500030517578,134.97000122070312,136.4499969482422,102800
2016-09-06,136.52000427246094,137.47999572753906,135.8300018310547,137.27999877929688,64300
2016-09-07,136.75999450683594,136.75999450683594,134.3000030517578,136.41000366210938,92800
2016-09-08,136.11000061035156,137.0,134.7100067138672,134.8800048828125,83500
2016-09-09,134.91000366210938,135.47000122070312,130.0500030517578,130.10000610351562,144400
2016-09-12,130.13999938964844,132.52000427246094,129.58999633789062,132.5,140200
2016-09-13,132.05999755859375,132.16000366210938,130.38999938964844,130.64999389648438,69100
2016-09-14,131.14999389648438,131.2899932861328,129.82000732421875,130.55999755859375,77000
2016-09-15,130.30999755859375,132.22999572753906,130.30999755859375,131.75,69700
2016-09-16,132.22000122070312,132.4600067138672,129.9499969482422,130.52999877929688,214400
2016-09-19,131.32000732421875,132.17999267578125,130.66000366210938,131.49000549316406,67200
2016-09-20,131.8800048828125,132.25,130.22000122070312,130.22000122070312,58600
2016-09-21,130.1300048828125,132.47000122070312,129.5399932861328,131.77000427246094,64900
2016-09-22,132.41000366210938,133.5800018310547,131.94000244140625,133.2100067138672,69100
2016-09-23,132.7899932861328,132.7899932861328,130.91000366210938,132.02999877929688,43800
2016-09-26,131.22000122070312,132.00999450683594,130.6300048828125,131.32000732421875,57200
2016-09-27,132.00999450683594,133.89999389648438,131.97999572753906,132.60000610351562,92500
2016-09-28,132.6199951171875,133.63999938964844,130.75999450683594,132.41000366210938,64300
2016-09-29,132.05999755859375,132.75999450683594,130.6300048828125,130.72000122070312,86400
2016-09-30,131.2100067138672,133.13999938964844,130.5,132.08999633789062,175500
2016-10-03,132.02000427246094,132.6300048828125,130.6300048828125,132.25999450683594,81100
2016-10-04,132.89999389648438,133.42999267578125,130.8800048828125,131.13999938964844,56900
2016-10-05,131.6999969482422,132.9499969482422,131.35000610351562,132.25,82800
2016-10-06,132.16000366210938,133.08999633789062,131.5800018310547,132.64999389648438,77700
2016-10-07,132.88999938964844,132.88999938964844,130.6199951171875,132.05999755859375,60100
2016-10-10,132.11000061035156,134.10000610351562,132.11000061035156,133.75999450683594,62900
2016-10-11,133.82000732421875,133.82000732421875,132.22000122070312,132.7100067138672,50500
2016-10-12,133.16000366210938,136.24000549316406,132.85000610351562,133.66000366210938,40600
2016-10-13,132.74000549316406,135.19000244140625,132.02000427246094,134.32000732421875,64600
2016-10-14,134.75,134.97999572753906,132.6199951171875,132.63999938964844,84200
2016-10-17,132.8300018310547,134.0800018310547,132.5500030517578,133.6699981689453,84000
2016-10-18,134.25999450683594,135.74000549316406,132.63999938964844,134.82000732421875,77800
2016-10-19,135.1300048828125,136.0800018310547,133.97000122070312,135.83999633789062,78900
2016-10-20,135.6300048828125,135.7899932861328,133.67999267578125,134.27999877929688,69300
2016-10-21,134.35000610351562,134.5800018310547,133.02000427246094,134.14999389648438,55600
2016-10-24,134.42999267578125,135.85000610351562,134.3300018310547,135.5800018310547,48400
2016-10-25,135.82000732421875,136.57000732421875,134.38999938964844,135.02000427246094,60800
2016-10-26,135.08999633789062,136.3000030517578,134.50999450683594,135.35000610351562,94300
2016-10-27,138.30999755859375,138.30999755859375,129.3699951171875,130.32000732421875,148500
2016-10-28,130.0,131.13999938964844,129.74000549316406,129.99000549316406,124200
