Date,Open,High,Low,Close,Volume
2016-07-18,243.5,243.5,243.5,243.5,4000
2016-07-19,241.5,241.5,241.25,241.25,31
2016-07-20,241.25,241.25,241.25,241.25,0
2016-07-21,241.25,241.25,241.25,241.25,0
2016-07-22,241.25,241.25,241.25,241.25,0
2016-07-25,245.0,245.0,245.0,245.0,12
2016-07-26,245.0,245.0,245.0,245.0,0
2016-07-27,245.0,245.0,245.0,245.0,0
2016-07-28,245.0,245.0,245.0,245.0,0
2016-07-29,245.0,245.0,245.0,245.0,0
2016-08-01,245.0,245.0,245.0,245.0,0
2016-08-02,245.0,245.0,245.0,245.0,0
2016-08-03,245.0,245.0,245.0,245.0,0
2016-08-04,245.0,245.0,245.0,245.0,0
2016-08-05,245.0,245.0,245.0,245.0,0
2016-08-08,245.0,245.0,245.0,245.0,0
2016-08-09,245.0,245.0,245.0,245.0,0
2016-08-10,243.9250030517578,245.0,243.9250030517578,245.0,320
2016-08-11,245.0,245.0,245.0,245.0,88
2016-08-12,245.0,245.0,245.0,245.0,0
2016-08-15,245.0,245.0,245.0,245.0,0
2016-08-16,244.8074951171875,244.8074951171875,244.8074951171875,244.8074951171875,44
2016-08-17,245.5,245.5,245.5,245.5,112
2016-08-18,245.5,245.5,245.5,245.5,0
2016-08-19,245.5,245.5,245.5,245.5,0
2016-08-22,245.5,245.5,245.5,245.5,0
2016-08-23,245.5,245.5,245.5,245.5,28
2016-08-24,245.5,245.5,245.5,245.5,0
2016-08-25,245.5,245.5,245.5,245.5,0
2016-08-26,242.5,242.5,242.5,242.5,8
2016-08-29,242.5,242.5,242.5,242.5,0
2016-08-30,242.5,242.5,242.5,242.5,0
2016-08-31,245.5,245.5,245.5,245.5,4
2016-09-01,245.33250427246094,245.5,245.33250427246094,245.5,56
2016-09-02,245.5,245.5,245.5,245.5,0
2016-09-06,243.75,243.75,243.75,243.75,6
2016-09-07,243.75,243.75,243.75,243.75,0
2016-09-08,243.75,243.75,243.75,243.75,0
2016-09-09,245.5,250.0,245.5,250.0,56
2016-09-12,250.0,250.0,250.0,250.0,0
2016-09-13,250.0,250.0,250.0,250.0,0
2016-09-14,250.0,250.0,250.0,250.0,0
2016-09-15,250.0,250.0,250.0,250.0,0
2016-09-16,250.0,250.0,250.0,250.0,0
2016-09-19,250.0,250.0,250.0,250.0,0
2016-09-20,246.25,246.25,246.25,246.25,116
2016-09-21,245.5,245.5,245.5,245.5,12
2016-09-22,245.5,245.5,245.5,245.5,0
2016-09-23,245.5,245.5,245.5,245.5,0
2016-09-26,245.0,245.0,245.0,245.0,9
2016-09-27,245.0,245.0,245.0,245.0,0
2016-09-28,245.0,245.0,245.0,245.0,0
2016-09-29,245.5,247.75,245.5,247.0,358
2016-09-30,247.0,247.0,247.0,247.0,0
2016-10-03,241.0,241.0,241.0,241.0,7
2016-10-04,245.5,245.75,245.5,245.75,64
2016-10-05,244.75,244.75,243.75,243.75,16
2016-10-06,244.5,244.5,236.5,236.5,12
2016-10-07,244.5,244.75,244.5,244.75,16
2016-10-10,244.75,244.75,244.75,244.75,0
2016-10-11,244.75,244.75,244.75,244.75,0
2016-10-12,244.75,244.75,244.75,244.75,0
2016-10-13,244.75,244.75,244.75,244.75,0
2016-10-14,245.0,245.0,245.0,245.0,37
2016-10-17,245.25,245.25,245.0,245.0,24
2016-10-18,245.0,245.0,245.0,245.0,19
2016-10-19,245.0,245.0,245.0,245.0,19
2016-10-20,245.0,245.0,245.0,245.0,8
2016-10-21,245.0,245.0,245.0,245.0,0
2016-10-24,245.0,245.0,245.0,245.0,0
2016-10-25,245.0,245.0,245.0,245.0,0
2016-10-26,245.0,245.0,245.0,245.0,0
2016-10-27,245.0,245.0,245.0,245.0,0
2016-10-28,245.0,245.0,245.0,245.0,0
2016-10-31,247.5,247.5,247.5,247.5,20
2016-11-01,247.5,247.5,247.5,247.5,0
2016-11-02,247.5,247.5,247.5,247.5,0
2016-11-03,247.5,247.5,247.5,247.5,0
2016-11-04,247.5,247.5,247.5,247.5,0
2016-11-07,247.5,247.5,247.5,247.5,0
2016-11-08,247.5,247.5,247.5,247.5,0
2016-11-09,247.5,247.5,247.5,247.5,0
2016-11-10,247.5,247.5,247.5,247.5,0
2016-11-11,247.5,247.5,247.5,247.5,0
2016-11-14,247.5,247.5,247.5,247.5,0
2016-11-15,247.5,247.50250244140625,247.0,247.5,138
2016-11-16,245.0,246.5,245.0,246.5,2638
2016-11-17,247.5,248.5,247.5,248.25,140
2016-11-18,246.25,246.25,246.25,246.25,8
2016-11-21,246.25,246.25,246.25,246.25,0
2016-11-22,245.0,245.0,245.0,245.0,6
2016-11-23,245.0,245.0,245.0,245.0,0
2016-11-25,245.0,245.0,245.0,245.0,27
2016-11-28,245.0,245.0,245.0,245.0,18
2016-11-29,245.0,245.0,245.0,245.0,0
2016-11-30,245.0,245.0,245.0,245.0,0
2016-12-01,245.0,245.0,245.0,245.0,0
2016-12-02,245.0,245.0,245.0,245.0,16
2016-12-05,245.0,245.0,245.0,245.0,0
2016-12-06,245.0,245.0,245.0,245.0,0
2016-12-07,245.0,245.0,245.0,245.0,0
2016-12-08,245.0,245.0,245.0,245.0,0
2016-12-09,245.0,245.0,245.0,245.0,0
2016-12-12,245.0,245.0,245.0,245.0,0
2016-12-13,245.0,245.0,245.0,245.0,0
2016-12-14,245.0,245.0,245.0,245.0,0
2016-12-15,245.0,245.0,245.0,245.0,0
2016-12-16,245.0,245.0,245.0,245.0,0
2016-12-19,245.0,245.0,245.0,245.0,0
2016-12-20,245.0,245.0,245.0,245.0,0
2016-12-21,246.25250244140625,246.25250244140625,246.25,246.25,32
2016-12-22,246.25,246.25,246.25,246.25,30
2016-12-23,246.25,246.25,246.25,246.25,0
2016-12-27,246.25,246.25,246.25,246.25,0
2016-12-28,246.25,246.25,246.25,246.25,0
2016-12-29,246.25,246.25,246.25,246.25,0
2016-12-30,248.75,248.75,246.5,248.5,15
2017-01-03,248.5,248.5,248.5,248.5,0
2017-01-04,248.5,248.5,248.5,248.5,0
2017-01-05,248.5,248.5,248.5,248.5,0
2017-01-06,248.6999969482422,262.5,247.5,247.5,1197
2017-01-09,247.5,247.5,247.5,247.5,0
2017-01-10,247.75,247.75,247.75,247.75,22980
2017-01-11,247.75,247.75,247.75,247.75,0
2017-01-12,251.25,252.50250244140625,250.25,251.0,15530
2017-01-13,251.25,252.0,251.25,252.0,428
2017-01-17,251.25250244140625,252.0,250.25,250.25,155
2017-01-18,250.25,250.25,249.0,249.0,101
2017-01-19,250.0,250.75,250.0,250.75,112
2017-01-20,252.25,252.5,246.3699951171875,252.5,235
2017-01-23,252.0,252.5,251.25,252.5,4638
2017-01-24,252.5,252.5,250.0,251.25,39
2017-01-25,251.25,251.25,251.25,251.25,0
2017-01-26,246.75,252.5,246.75,252.49749755859375,551
2017-01-27,252.5,252.5,252.5,252.5,4
2017-01-30,251.25,252.25,246.0,252.25,27
2017-01-31,252.25,252.25,252.25,252.25,0
2017-02-01,252.25,252.25,252.25,252.25,0
2017-02-02,252.25,252.25,252.25,252.25,0
2017-02-03,252.25,252.25,252.25,252.25,0
2017-02-06,252.25,252.25,252.25,252.25,0
2017-02-07,252.25,252.25,252.25,252.25,0
2017-02-08,252.25,252.25,252.25,252.25,0
2017-02-09,252.5,252.5,252.5,252.5,81
2017-02-10,252.5,252.5,252.5,252.5,0
2017-02-13,250.25,252.5,250.25,252.5,10
2017-02-14,250.25,252.5,250.25,252.5,169
2017-02-15,250.25,250.25,250.25,250.25,4
2017-02-16,250.25,250.25,250.25,250.25,0
2017-02-17,250.25,250.25,250.25,250.25,0
