Date,Open,High,Low,Close,Volume
2016-07-18,360.0,360.0,360.0,360.0,5
2016-07-19,360.0,405.0,360.0,405.0,0
2016-07-20,405.0,405.0,360.0,360.0,10
2016-07-21,405.0,405.0,405.0,405.0,0
2016-07-22,405.0,405.0,405.0,405.0,2
2016-07-25,405.0,405.0,405.0,405.0,0
2016-07-26,405.0,405.0,405.0,405.0,2
2016-07-27,405.0,405.0,405.0,405.0,0
2016-07-28,405.0,405.0,405.0,405.0,2
2016-07-29,405.0,405.0,315.0,315.0,18
2016-08-01,315.0,315.0,315.0,315.0,0
2016-08-02,270.0,315.0,270.0,270.0,18
2016-08-03,270.0,270.0,270.0,270.0,0
2016-08-04,270.0,315.0,270.0,315.0,5
2016-08-05,315.0,315.0,270.0,270.0,3
2016-08-08,270.0,270.0,225.0,225.0,10
2016-08-09,270.0,270.0,270.0,270.0,5
2016-08-10,180.0,270.0,180.0,270.0,15
2016-08-11,315.0,360.0,225.0,225.0,10
2016-08-12,225.0,225.0,225.0,225.0,0
2016-08-15,270.0,270.0,270.0,270.0,7
2016-08-16,225.0,270.0,225.0,225.0,23
2016-08-17,270.0,270.0,270.0,270.0,16
2016-08-18,315.0,315.0,180.0,225.0,3
2016-08-19,225.0,270.0,225.0,225.0,3
2016-08-22,270.0,270.0,270.0,270.0,8
2016-08-23,270.0,315.0,270.0,315.0,1
2016-08-24,270.0,270.0,270.0,270.0,7
2016-08-25,270.0,270.0,270.0,270.0,0
2016-08-26,270.0,270.0,270.0,270.0,0
2016-08-29,270.0,270.0,270.0,270.0,39
2016-08-30,270.0,270.0,270.0,270.0,0
2016-08-31,270.0,270.0,270.0,270.0,3
2016-09-01,270.0,270.0,270.0,270.0,0
2016-09-02,270.0,270.0,270.0,270.0,0
2016-09-06,270.0,270.0,270.0,270.0,4
2016-09-07,270.0,270.0,270.0,270.0,2
2016-09-08,270.0,270.0,270.0,270.0,0
2016-09-09,270.0,270.0,270.0,270.0,1
2016-09-12,315.0,315.0,270.0,270.0,2
2016-09-13,270.0,270.0,270.0,270.0,0
2016-09-14,270.0,315.0,270.0,315.0,2
2016-09-15,315.0,315.0,270.0,270.0,2
2016-09-16,270.0,270.0,270.0,270.0,3
2016-09-19,270.0,270.0,270.0,270.0,0
2016-09-20,270.0,270.0,270.0,270.0,5
2016-09-21,270.0,270.0,270.0,270.0,1
2016-09-22,270.0,270.0,270.0,270.0,8
2016-09-23,270.0,270.0,270.0,270.0,2
2016-09-26,270.0,270.0,270.0,270.0,2
2016-09-27,270.0,270.0,270.0,270.0,2
2016-09-28,270.0,270.0,270.0,270.0,0
2016-09-29,270.0,270.0,270.0,270.0,0
2016-09-30,270.0,270.0,270.0,270.0,1
2016-10-03,270.0,270.0,225.0,225.0,0
2016-10-04,225.0,270.0,225.0,225.0,4
2016-10-05,270.0,270.0,225.0,225.0,3
2016-10-06,225.0,270.0,225.0,225.0,7
2016-10-07,225.0,225.0,225.0,225.0,0
2016-10-10,225.0,225.0,225.0,225.0,0
2016-10-11,225.0,225.0,180.0,180.0,3
2016-10-12,180.0,180.0,180.0,180.0,0
2016-10-13,180.0,180.0,180.0,180.0,0
2016-10-14,180.0,180.0,180.0,180.0,6
2016-10-17,270.0,270.0,180.0,180.0,13
2016-10-18,180.0,270.0,180.0,180.0,1
2016-10-19,180.0,180.0,180.0,180.0,0
2016-10-20,180.0,180.0,180.0,180.0,0
2016-10-21,315.0,315.0,270.0,270.0,1
2016-10-24,270.0,270.0,180.0,180.0,2
2016-10-25,180.0,180.0,180.0,180.0,0
2016-10-26,180.0,225.0,180.0,225.0,9
2016-10-27,225.0,225.0,225.0,225.0,0
2016-10-28,225.0,225.0,225.0,225.0,0
2016-10-31,225.0,225.0,225.0,225.0,0
2016-11-01,225.0,225.0,225.0,225.0,0
2016-11-02,225.0,225.0,180.0,180.0,2
2016-11-03,225.0,225.0,180.0,180.0,7
2016-11-04,180.0,180.0,180.0,180.0,0
2016-11-07,180.0,180.0,180.0,180.0,0
2016-11-08,180.0,180.0,180.0,180.0,0
2016-11-09,270.0,270.0,270.0,270.0,2
2016-11-10,270.0,270.0,180.0,270.0,5
2016-11-11,180.0,180.0,180.0,180.0,9
2016-11-14,225.0,270.0,225.0,225.0,18
2016-11-15,225.0,225.0,180.0,225.0,33
2016-11-16,225.0,225.0,180.0,180.0,11
2016-11-17,180.0,180.0,180.0,180.0,2
2016-11-18,180.0,180.0,180.0,180.0,2
2016-11-21,180.0,180.0,180.0,180.0,2
2016-11-22,180.0,225.0,180.0,225.0,5
2016-11-23,225.0,225.0,225.0,225.0,7
2016-11-25,225.0,225.0,225.0,225.0,1
2016-11-28,225.0,225.0,225.0,225.0,2
2016-11-29,225.0,225.0,225.0,225.0,2
2016-11-30,225.0,225.0,225.0,225.0,3
2016-12-01,225.0,225.0,180.0,180.0,25
2016-12-02,180.0,180.0,180.0,180.0,44
2016-12-05,180.0,225.0,180.0,180.0,6
2016-12-06,180.0,180.0,180.0,180.0,4
2016-12-07,180.0,180.0,180.0,180.0,22
2016-12-08,180.0,180.0,135.0,180.0,67
2016-12-09,135.0,180.0,135.0,135.0,14
2016-12-12,180.0,180.0,180.0,180.0,9
2016-12-13,180.0,225.0,135.0,135.0,9
