Date,Open,High,Low,Close,Volume
2022-04-01,790.0,1129.0,726.0,793.0,105799.0
2022-04-04,727.0,783.0,656.5,667.0,22892.0
2022-04-05,656.0,656.0,596.0,613.0,7695.0
2022-04-06,596.0,649.9000244140625,557.0,561.0,11472.0
2022-04-07,566.0,591.0,523.0,531.0,7086.0
2022-04-08,519.0,635.0,485.0,591.0,32947.0
2022-04-11,576.0,579.0,511.0,512.0,5469.0
2022-04-12,508.0,537.0,457.0,457.0,5011.0
2022-04-13,467.0,539.0,440.0,476.0,15847.0
2022-04-14,463.0,508.0,451.0,461.0,2649.0
2022-04-18,455.0,505.0,441.0,492.0,2897.0
2022-04-19,503.0,530.0,489.0,499.0,3458.0
2022-04-20,496.0,533.0,479.0,498.0,3553.0
2022-04-21,505.0,545.0,462.0,479.0,5268.0
2022-04-22,483.0,492.29998779296875,406.0,415.0,2387.0
2022-04-25,407.0,446.0,393.5,430.0,3050.0
2022-04-26,427.0,427.0,377.20001220703125,383.0,2441.0
2022-04-27,395.0,436.0,376.0,404.0,3599.0
2022-04-28,456.0,469.0,330.0,368.0,56228.0
2022-04-29,335.0,382.0,335.0,359.0,5497.0
2022-05-02,350.0,352.0,331.0,336.0,2926.0
2022-05-03,330.0,377.0,330.0,361.0,7593.0
2022-05-04,374.0,409.0,358.5,385.0,7423.0
2022-05-05,377.0,388.0,341.0,350.0,3052.0
2022-05-06,342.0,392.0,341.0,384.0,3003.0
2022-05-09,384.0,457.0,365.0,436.0,6365.0
2022-05-10,415.0,471.6000061035156,391.0,400.0,11868.0
2022-05-11,400.0,410.0,352.1000061035156,360.1000061035156,4103.0
2022-05-12,360.0,374.0,343.0,357.0,2356.0
2022-05-13,348.0,370.5,342.0,348.0,4652.0
2022-05-16,341.0,341.0,310.0,315.0,1020.0
2022-05-17,312.0,318.0,302.0,315.0,2018.0
2022-05-18,312.0,320.0,308.0,318.0,947.0
2022-05-19,331.0,345.0,307.8999938964844,340.0,3945.0
2022-05-20,337.0,342.0,310.0,321.0,1690.0
2022-05-23,315.0,333.0,302.0,321.0,561.0
2022-05-24,314.0,321.0,286.5,290.0,1393.0
2022-05-25,291.0,303.0,284.0,296.0,1160.0
2022-05-26,309.0,322.3999938964844,293.1000061035156,310.0,966.0
2022-05-27,310.0,334.0,303.0,334.0,2501.0
2022-05-31,328.0,337.0,310.0,334.0,599.0
2022-06-01,337.0,337.0,320.0,330.0,695.0
2022-06-02,327.0,364.0,307.0,364.0,1277.0
2022-06-03,355.0,360.0,335.0,343.0,197.0
2022-06-06,351.0,368.5,336.0,354.0,518.0
2022-06-07,351.0,352.0,331.0,348.0,1619.0
2022-06-08,336.0,360.0,336.0,350.0,867.0
2022-06-09,345.0,359.20001220703125,320.0,326.0,5353.0
2022-06-10,322.0,327.0,304.0,320.0,1242.0
2022-06-13,322.0,322.0,286.0,288.0,1432.0
2022-06-14,290.0,297.0,245.5,255.0,1351.0
2022-06-15,275.0,284.79998779296875,255.0,258.0,598.0
2022-06-16,258.0,258.0,232.0,241.0,433.0
2022-06-17,246.0,250.0,209.0,209.0,2042.0
2022-06-21,220.0,234.0,220.0,220.0,1066.0
2022-06-22,222.0,249.0,212.5,224.0,1725.0
2022-06-23,236.0,254.5,228.0,228.0,1002.0
2022-06-24,240.0,268.0,234.0,240.0,3998.0
2022-06-27,238.0,255.0,232.0,241.0,380.0
2022-06-28,242.0,250.0,226.0,229.0,298.0
2022-06-29,231.0,234.5,221.0,225.0,390.0
2022-06-30,223.0,244.0,214.0,216.0,1278.0
2022-07-01,222.0,238.5,214.0,228.0,456.0
2022-07-05,237.0,237.6999969482422,217.0,229.0,2970.0
2022-07-06,223.0,228.0,214.0,220.0,700.0
2022-07-07,230.0,234.0,220.39999389648438,227.0,468.0
2022-07-08,227.0,244.0,219.0,240.0,622.0
2022-07-11,240.0,242.0,224.60000610351562,226.0,440.0
2022-07-12,230.0,232.0,223.0,223.0,294.0
2022-07-13,223.0,244.0,210.0,222.0,2580.0
2022-07-14,228.0,228.0,215.0,218.0,421.0
2022-07-15,220.0,224.0,215.0,224.0,222.0
2022-07-18,228.0,270.0,221.0,255.0,1291.0
2022-07-19,257.0,298.29998779296875,257.0,293.0,1266.0
2022-07-20,312.0,312.0,275.0,291.0,1012.0
2022-07-21,296.0,340.0,281.0,336.0,1887.0
2022-07-22,342.0,342.0,285.0,305.0,1059.0
2022-07-25,302.0,319.0,288.0,305.0,1079.0
2022-07-26,297.70001220703125,310.0,288.0,309.0,112.0
2022-07-27,305.20001220703125,325.0,304.79998779296875,310.0,428.0
2022-07-28,313.0,313.0,297.0,310.0,433.0
2022-07-29,311.0,326.0,303.0,321.0,414.0
2022-08-01,307.20001220703125,325.0,307.20001220703125,319.0,267.0
2022-08-02,310.0,350.0,310.0,346.0,945.0
2022-08-03,353.0,353.0,321.0,341.0,295.0
2022-08-04,336.0,374.1000061035156,336.0,353.0,920.0
2022-08-05,357.0,384.0,350.0,374.0,895.0
2022-08-08,384.0,400.0,342.0,365.0,633.0
2022-08-09,327.0,365.0,320.0,359.0,568.0
2022-08-10,375.0,398.0,370.8999938964844,398.0,563.0
2022-08-11,399.0,402.0,359.0,378.0,251.0
2022-08-12,385.0,385.1000061035156,356.79998779296875,368.0,800.0
2022-08-15,387.0,391.6000061035156,366.0,380.0,1220.0
2022-08-16,385.0,394.0,374.0,390.0,1009.0
2022-08-17,390.0,425.0,386.0,410.0,1007.0
2022-08-18,414.0,414.0,380.0,381.0,366.0
2022-08-19,380.0,403.0,358.0,370.0,383.0
2022-08-22,386.0,390.0,366.0,372.0,548.0
2022-08-23,363.0,388.0,363.0,375.0,434.0
