strategy_version,active_condition_ids,signal_lo_pct,signal_hi_pct,entry_day,entry_trend_filter,entry_trend_fast_sma,entry_trend_slow_sma,entry_volume_fast_window,entry_volume_slow_window,baseline_filter,early_stop_days,stop_pct,sma_n,cost_bps,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",1.5,8,0.0,3662,25.77826324412889,26.41829931972789,25.0,0.19320180229382822,5.070654661016946,-1.500806843267108,3.378619096631138,4.916872679045093,2.783,363.61,377,1.1734392672752534,-1.459699999999997,1.604292063492063,185,4.3296013107591484,-8.85,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,8,0.0,3649,28.939435461770348,29.370045351473923,28.57,0.20507481501781305,5.047447916666663,-1.7669830312379484,2.856534458698463,4.220685714285714,2.304,363.61,385,1.1633202618852607,-1.3679000000000108,1.6968244897959186,187,4.872019731433269,-9.59,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",1.5,10,0.0,3660,23.60655737704918,24.033718820861676,23.08,0.16989945355191238,5.538664351851853,-1.4891180257510734,3.719426033445731,5.80140650406504,3.062,404.72,369,1.149348385905646,-1.5000000000000013,1.4100303854875278,179,4.754644808743169,-8.93,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",1.5,10,0.0,7537,23.523948520631553,23.33578231292517,22.22,0.16385577816107208,5.451783417935702,-1.4627048924358077,3.7271929875458176,4.281774117647059,3.038,81.303,425,1.1464826199700198,-1.927000000000012,2.800446258503401,200,4.864667639644421,-15.83,False
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.5,8,0.0,3637,30.65713500137476,30.929115646258506,30.0,0.1928463018971679,5.048335426008964,-1.9538112609040454,2.583839865716126,3.9342000000000006,2.0869999999999997,363.61,390,1.1423352171473156,-1.3354000000000088,1.590385034013605,199,5.1996150673632116,-10.56,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,10,0.0,3646,26.385079539221064,26.503900226757374,25.0,0.17710257816785516,5.54506548856549,-1.746884128166916,3.174260615891093,4.988201591511936,2.531,404.72,377,1.1377169897558852,-1.921700000000004,1.4641854875283453,178,5.346681294569391,-9.77,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",1.5,8,0.0,7576,25.884371700105596,25.587800453514735,25.0,0.14580359028511092,4.750364099949001,-1.462307390917187,3.2485400330018726,3.713049180327869,2.906,89.667,427,1.134533185083721,-0.8904999999999941,2.5048299319727882,210,4.371568109820486,-14.93,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,10,0.0,7469,25.97402597402597,25.679002267573697,25.0,0.168639175257732,5.492614432989684,-1.6994223186833062,3.2320479568876683,3.675705607476636,2.6895,62.468,428,1.1340527438612524,-1.86059999999999,2.8561746031746034,202,5.399919667960905,-17.16,False
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,8,0.0,7511,28.637997603514847,28.25160997732426,27.78,0.1557057648781787,4.798180381218027,-1.707347014925372,2.8103135093645597,3.205986046511628,2.5069999999999997,68.895,430,1.1277982517612288,-0.8495999999999948,2.6519934240362817,211,4.859139928105446,-16.5,False
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",1.5,5,0.0,3687,30.105777054515865,30.837755102040816,29.41,0.13394928125847586,3.9507729729729717,-1.5100842064415982,2.616260044386979,2.963398457583548,2.211,17.811,389,1.1269068913127072,-1.1565999999999965,1.1198571428571429,198,3.471657173854082,-8.13,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",1.5,3,0.0,3699,33.33333333333333,34.009478458049884,33.33,0.1281365233846985,3.427388483373885,-1.5214894566098944,2.2526534564430163,2.535392947103275,1.875,19.168,397,1.1263238556381936,-0.1911000000000107,1.074753968253968,214,2.857529061908624,-7.61,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.5,10,0.0,7433,27.41826987757299,27.230362811791384,26.09,0.16795398896811525,5.545053974484786,-1.8632841519925856,2.975957246539631,3.291380841121495,2.543,50.308,428,1.1241890175094222,-1.7711000000000032,2.8308396825396827,197,5.74815014126194,-18.19,False
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.5,10,0.0,3634,27.848101265822784,27.855804988662133,27.27,0.16682388552559158,5.577526679841897,-1.9215175438596492,2.902667580457589,4.705635170603675,2.297,404.72,381,1.120324239369537,-1.3354000000000088,1.3746507936507932,183,5.711337369290039,-10.82,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.5,8,0.0,7476,30.21669341894061,29.95360544217687,28.57,0.15730524344569294,4.848705621956612,-1.8741061912976802,2.5872096493098087,2.8608561484918793,2.285,50.308,431,1.120282850421716,-1.2566999999999995,2.666736281179139,212,5.175494917067951,-17.12,False
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,5,0.0,3676,33.977149075081606,34.645714285714284,33.33,0.1401779107725787,3.90569175340272,-1.7976576019777504,2.172656099307092,2.4466306532663316,1.7875,14.952,398,1.1181033113658674,-0.9572999999999943,1.168425170068027,200,3.9075081610446136,-9.02,True
