strategy_version,active_condition_ids,signal_lo_pct,signal_hi_pct,entry_day,entry_trend_filter,entry_trend_fast_sma,entry_trend_slow_sma,entry_volume_fast_window,entry_volume_slow_window,baseline_filter,early_stop_days,stop_pct,sma_n,cost_bps,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,3,0.0,7832,37.448927477017364,37.30904761904762,37.5,0.0670969101123595,3.2387483804977846,-1.8317505613390517,1.7681164940548375,1.9391674311926603,1.6560000000000001,15.225,436,1.0585591165420192,0.06540000000001545,1.191599092970522,221,3.242849846782431,-14.57,True
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,3,0.0,3691,37.90300731509076,38.37621315192744,38.46,0.1228718504470334,3.3304710507505373,-1.8349952006980812,1.8149753467930254,2.0730818858560793,1.574,10.62,403,1.1078296374898313,-0.03850000000000797,1.0283696145124714,220,3.2059062584665403,-8.3,True
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.5,3,0.0,3681,40.12496604183646,40.39632653061224,40.0,0.10378185275740297,3.310712254570075,-2.0453271324863893,1.618671263870356,1.8808382352941178,1.4515,10.426,408,1.0847427675986288,-0.09120000000001349,0.8662417233560089,219,3.4444444444444446,-9.1,True
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,8,0.0,7685,28.627195836044244,28.536417233560094,28.0,0.12847078724788555,4.844468636363639,-1.7630871467639018,2.7477193315461057,3.583552204176334,2.386,193.543,431,1.1020925243399289,-0.10839999999999739,2.238754648526077,218,4.863760572543916,-16.57,False
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.5,3,0.0,7796,39.53309389430477,39.333083900226754,38.89,0.06283889173935352,3.263790720311485,-2.0299344505727657,1.6078305973823808,1.7491444954128441,1.4905,13.066,436,1.0511942432531487,-0.15799999999999148,1.1108485260770975,217,3.4769112365315546,-15.76,False
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",1.5,3,0.0,3699,33.33333333333333,34.009478458049884,33.33,0.1281365233846985,3.427388483373885,-1.5214894566098944,2.2526534564430163,2.535392947103275,1.875,19.168,397,1.1263238556381936,-0.1911000000000107,1.074753968253968,214,2.857529061908624,-7.61,True
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",1.5,3,0.0,7713,33.968624400363026,33.45442176870748,33.33,0.06957370672889925,3.0935713740458053,-1.486066169251914,2.0817184578013173,2.3545184331797238,1.927,18.83,434,1.0709039575157013,-0.2570000000000072,1.2168659863945588,214,2.91365227537923,-12.85,True
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,5,0.0,7768,33.75386199794026,33.741020408163266,33.33,0.08162422760041195,3.7714481311975607,-1.798422075398369,2.097087320484623,2.357110599078341,1.838,16.631,434,1.0685100795200557,-0.32250000000000334,1.4377324263038544,219,3.915164778578785,-15.41,False
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,3,0.0,7661,37.61910977679154,36.992040816326536,36.84,0.07698968803028323,3.13526821651631,-1.7673205691567269,1.7740234970570712,2.0224597701149425,1.661,17.102,435,1.069835198303049,-0.469799999999998,1.3374814058956914,213,3.2549275551494583,-14.25,True
v5_t0_trend_volume_return_max,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.5,8,0.0,7642,30.149175608479457,29.997210884353738,30.0,0.13830253860245997,4.9392851562499995,-1.9339087673285869,2.554042486230052,3.3324050925925928,2.232,193.543,432,1.1023807343797078,-0.5056999999999978,2.3965975056689337,217,5.188301491756085,-17.65,False
