搜索阶段,条件候选编号,启用条件,早期止损触发,强制平仓日,信号下限 (%),信号上限 (%),入场确认日,早期止损日,止损幅度 (%),SMA 周期,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
条件筛选,34,T0-03、T0-08、EX-02,盘中低价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,9732,4.397862720920674,12.72918735891648,6.67,15.299571824907508,394.40793457943937,-2.14006481083405,184.29719164707274,383.839178313253,105.798,42658.714,415,8.477979610943114,157.8846,336.10700857787816,356,98.42817509247843,-64.08,False
条件筛选,1,无,收盘价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,443,86.00451467268623,86.00451467268623,100.0,321.03727088036123,379.4246404199474,-37.76253225806451,10.047648230447207,,,,0,61.74457980302154,132.48380000000003,321.037298194131,381,2333.3860045146725,0.0,True
条件筛选,38,T0-02、T0-05、T0-08、EN-01、EX-01,盘中低价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,728,51.78571428571429,68.1612415349887,100.0,176.91399725274724,349.5651379310343,-8.52611680911681,40.999337184455555,191.12772131147545,90.9195,1911.304,122,44.03629278019865,125.5731,290.7300340857788,374,1391.646978021978,0.0,True
条件筛选,25,T0-02、T0-03、T0-06、EN-01、EX-01、EX-02,收盘价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,8993,4.770376959857667,13.07683972911964,6.67,13.696962081619038,334.8617039627043,-2.391276389537598,140.03471343915064,254.04764337349397,76.398,31090.484,415,7.0148192488307,119.88550000000001,278.0514553047404,349,102.1304347826087,-66.435,False
条件筛选,27,T0-01、T0-02、EN-01,收盘价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,443,83.7471783295711,83.7471783295711,100.0,282.3132347629797,343.70901886792456,-34.04559722222223,10.095549701315827,,,,0,52.02009689287789,105.89110000000002,282.3132451467269,371,2232.7584650112867,0.0,True
条件筛选,29,T0-01、T0-04、T0-05、T0-06、EN-01,收盘价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,442,82.80542986425338,82.8054298642534,100.0,251.0886583710406,309.81202459016384,-31.710710526315797,9.769948999820103,,,,0,47.049973767813356,100.80630000000002,251.08866968325793,366,2180.1470588235293,0.0,True
条件筛选,48,T0-01、T0-02、T0-06、T0-07、T0-08、EX-01,盘中低价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,708,51.41242937853108,66.18891402714932,100.0,144.32784180790952,289.05101098901093,-8.80946511627907,32.811414447271225,130.205918699187,75.145,1097.477,123,34.71903692963608,97.66499999999999,231.18578076923075,360,1326.6596045197741,0.0,True
条件筛选,32,T0-02、T0-05、T0-06、EN-01、EX-02,盘中低价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,12370,3.2983023443815687,11.379932279909706,4.35,8.143660468876302,299.43733088235297,-1.7917865741514802,167.11662828713554,258.7156345177665,87.777,13890.311,394,5.700036347227211,88.11810000000003,227.397644469526,318,67.35278900565885,-75.445,False
条件筛选,42,T0-02、T0-03、T0-04、T0-06、T0-08、EN-01、EX-02,盘中低价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,11558,3.322374113168368,11.025914221218963,4.35,8.223712926111787,296.7763255208334,-1.6925393771254684,175.34382332945466,238.66981451612904,84.27449999999999,7432.423,372,6.025794261714534,71.8621,214.559220993228,297,65.37385360789064,-67.375,False
条件筛选,33,T0-04、EX-01、EX-03,收盘价,未启用,2.0,2.5,t2,"t3,t4",2.0,5,138190,40.23373616035892,40.230225733634306,40.23,0.2667542296837691,4.436210543355094,-2.5400600912932414,1.746498265360506,1.759,1.728,3.214,443,1.1757166286759406,70.77380000000002,83.21196546275395,371,4.446341992908315,-60.105000000000004,False
