symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
AAON,"AAON, Inc. Common Stock",2514,2016-07-18,2026-07-17,62.80212462362503,89792895.05386353,9126602728.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
ACHC,"Acadia Healthcare Company, Inc. Common Stock",2514,2016-07-18,2026-07-17,66.64340096801547,58292739.99862671,3172862432.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
ACLS,"Axcelis Technologies, Inc. Common Stock",2514,2016-07-18,2026-07-17,64.3418829214702,53781163.399124146,4192718229.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
ACMR,"ACM Research, Inc. Class A Common Stock",2186,2017-11-02,2026-07-17,84.73289871082568,57322818.087768555,5557591258.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
ADEA,Adeia Inc. Common Stock,2514,2016-07-18,2026-07-17,63.70293711384776,14573574.385925291,2799255350.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
ADMA,ADMA Biologics Inc Common Stock,2514,2016-07-18,2026-07-17,54.27665691983896,44215407.4485302,2023544505.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
ADPT,Adaptive Biotechnologies Corporation Common Stock,1773,2019-06-27,2026-07-17,68.75726099200281,28503165.58151245,3668217465.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
ADTN,"ADTRAN Holdings, Inc. Common Stock",2514,2016-07-18,2026-07-17,67.1616665420414,13983178.152942656,943627865.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
AEIS,"Advanced Energy Industries, Inc. Common Stock",2514,2016-07-18,2026-07-17,56.82294351767312,129852091.95251463,10802608121.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
AFRM,"Affirm Holdings, Inc. Class A Common Stock",1383,2021-01-13,2026-07-17,61.98849584615229,351603256.7657471,25475733840.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
AGIO,"Agios Pharmaceuticals, Inc. Common Stock",2514,2016-07-18,2026-07-17,76.94740538563562,26018578.342437744,2355670432.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
AGYS,"Agilysys, Inc. Common Stock (DE)",2514,2016-07-18,2026-07-17,53.53383176588012,22587773.620224,3004815982.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
AKAM,"Akamai Technologies, Inc. Common Stock",2514,2016-07-18,2026-07-17,56.399306772427195,298509494.95925903,17473877356.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
ALGM,"Allegro MicroSystems, Inc. Common Stock",1434,2020-10-29,2026-07-17,64.58703548445061,67373646.98467255,8659645295.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
ALGN,"Align Technology, Inc. Common Stock",2514,2016-07-18,2026-07-17,54.24467731949052,178822393.14575195,12659220129.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
