signal_lo_pct,signal_hi_pct,entry_day,entry_trend_filter,entry_trend_fast_sma,entry_trend_slow_sma,entry_volume_fast_window,entry_volume_slow_window,baseline_filter,early_stop_days,stop_pct,sma_n,cost_bps,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,median_individual_max_drawdown_pct,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
4.0,5.0,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",4.0,5,0.0,2319,35.79128934885726,35.62511834319526,33.33,0.44979646399310114,7.776055421686746,-3.634014775016789,2.13979741500936,2.456875912408759,1.627,19.136,274,1.1927640750461148,-1.486649999999995,3.0859715976331357,162,4.011642949547219,-8.96,-14.7675,True
4.0,5.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",4.0,5,0.0,3063,34.99836761345087,34.855581395348835,33.33,0.4183428011753185,7.823338619402982,-3.5686765444500264,2.1922240701723914,2.4839966996699667,1.771,25.658,303,1.1803404907938744,-2.377399999999996,3.7248927325581396,157,3.977146588312112,-11.57,-18.02,False
3.0,4.0,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",4.0,5,0.0,3342,34.05146618791143,32.8849560117302,33.33,0.38999042489527247,7.751748681898068,-3.4111352087114355,2.272483559754968,2.6671660899653977,1.919,29.913,289,1.173359015419359,-0.13499999999999623,3.8221,166,4.117594254937163,-11.64,-19.55,False
3.0,4.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",4.0,5,0.0,4514,34.38192290651307,33.29583090379008,33.33,0.38080482941958355,7.758616623711338,-3.4849493585415274,2.2263211959436813,2.5713152866242037,1.87,27.748,314,1.1665241935691675,-1.333300000000004,5.0114638483965015,165,4.057598582188746,-15.18,-23.87,False
5.0,6.0,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",4.0,5,0.0,1983,32.77861825516894,32.63134897360704,33.33,0.38461724659606655,8.642433846153851,-3.6420750187546878,2.3729422929648782,3.100761538461539,1.605,81.953,260,1.1570940813555048,-3.6142000000000007,2.2365853372434015,142,3.707009581442259,-7.93,-13.4,True
4.0,5.5,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",4.0,5,0.0,3900,33.69230769230769,34.14728323699422,33.33,0.36060794871794893,7.936802891933028,-3.489013147718485,2.2747987914929513,2.9942577639751553,1.7075,81.953,322,1.15587077068551,-0.3672500000000023,4.0646231213872825,169,3.865641025641026,-13.885,-21.2825,False
4.0,5.0,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",4.0,5,0.0,3499,33.92397827950843,33.900930232558146,33.33,0.3365915975993143,7.705748946925018,-3.4467949826989623,2.235627295967323,2.6566634615384612,1.982,40.536,312,1.1477867261518693,-0.8042999999999911,3.4235808139534885,166,3.9156901971991998,-12.469999999999999,-20.2925,False
4.0,5.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",4.0,5,0.0,4613,34.03425102969867,33.6357225433526,33.33,0.33868263602861476,7.741541401273884,-3.4807351298061144,2.2241110318857005,2.51664,1.945,31.122,325,1.1475014307417295,-2.168049999999994,4.515369942196532,164,3.880121396054628,-15.39,-24.555,False
4.0,5.0,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",4.0,5,0.0,2917,33.493315049708606,34.01616279069767,33.33,0.3137024340075418,7.754119754350048,-3.433353092783501,2.2584684839576457,2.6205742574257425,1.765,36.514,303,1.1373828186091692,-1.0027000000000008,2.660078779069767,167,3.890641069592047,-11.105,-17.915,False
5.0,6.5,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",4.0,5,0.0,2663,32.85767930904994,32.6506976744186,30.0,0.27133007885843047,8.252673142857146,-3.634528523489933,2.2706310019360627,2.9511249999999998,1.58,81.953,288,1.1111843377308543,-3.3430000000000017,2.1003973837209298,142,3.712354487420203,-10.21,-17.305,False
5.0,6.0,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",4.0,5,0.0,2318,32.614322691975836,33.15738235294117,30.0,0.24227394305435693,8.39614550264551,-3.7041581306017974,2.266681174672591,2.6798361774744026,1.606,28.538,293,1.0970620331092398,-2.9180499999999943,1.6517376470588236,133,3.7277825711820536,-9.35,-16.5875,False
3.0,4.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",4.0,5,0.0,6436,33.99627097576135,33.3114161849711,33.33,0.20885394655065254,7.196787477148083,-3.3903924199623345,2.1227004386790234,2.3654597014925374,1.927,21.935,335,1.0933304248326827,-0.9358499999999992,3.884914161849711,168,3.9269732753262896,-19.475,-28.48,False
5.0,6.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",4.0,5,0.0,3094,32.57918552036199,32.83542028985507,33.33,0.23125824175824172,8.317385912698414,-3.6761323106423776,2.2625371477026657,2.5003865814696487,1.728,33.138,313,1.0933066557588906,-3.649199999999997,2.0739536231884057,143,3.7149321266968327,-12.32,-20.29,False
3.0,4.5,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",4.0,5,0.0,5559,33.477244108652634,33.03263005780347,33.33,0.20436643281165695,7.196445459430414,-3.3143623580313664,2.171291090725786,2.453478787878788,1.888,17.748,330,1.0926894881903357,-0.9804999999999953,3.283385549132949,163,3.916711638783954,-17.765,-26.1125,False
5.0,6.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",4.0,5,0.0,2019,32.24368499257058,32.74440476190476,28.57,0.22125507677067857,8.126665130568355,-3.5407492690058473,2.295182322483432,3.15089219330855,1.804,30.147,269,1.09222681152365,-2.2511999999999976,1.3295288690476192,148,3.798910351659237,-7.465,-13.02,True
3.0,4.0,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",4.0,5,0.0,4197,33.16654753395282,32.447919075144505,33.33,0.10782844889206573,6.958830459770114,-3.292027094474153,2.113843616734167,2.4295174603174603,1.743,22.251,315,1.0490068871548182,-3.068599999999999,1.3079098265895956,158,3.910650464617584,-14.56,-21.295,False
5.0,6.0,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",4.0,5,0.0,1504,32.047872340425535,32.76582317073171,28.57,0.10977127659574461,7.910771784232365,-3.5693698630137005,2.216293656257051,3.163445887445887,1.773,48.056,231,1.0452584168634707,-2.6660000000000017,0.5033460365853649,138,3.793218085106383,-5.25,-10.515,True
3.0,4.0,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",4.0,5,0.0,4887,33.2719459791283,32.46398843930636,33.33,0.07930509515039907,7.01745756457565,-3.380196872125114,2.076049955091464,2.323452012383901,1.875,21.935,323,1.0351610291136735,-2.4476000000000053,1.1201549132947974,150,3.899733988131778,-15.24,-24.585,False
