symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
AAOI,"Applied Optoelectronics, Inc. Common Stock",2514,2016-07-18,2026-07-17,141.01009427387663,225624145.088768,8217661768.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
ABAT,American Battery Technology Company Common Stock,2514,2016-07-18,2026-07-17,129.24871072843916,17282725.641918182,321938005.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
ABSI,Absci Corporation Common Stock,1252,2021-07-22,2026-07-17,106.29068500227544,13584892.867565157,1293232440.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
ABTC,American Bitcoin Corp. Class A Common Stock,2109,2018-02-26,2026-07-17,111.24348538751502,14956812.037788391,385519456.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
AEHR,Aehr Test Systems Common Stock,2514,2016-07-18,2026-07-17,123.4128847468798,46295999.01151657,2602033901.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
AEVA,"Aeva Technologies, Inc. Common Stock",1605,2020-02-27,2026-07-17,114.5937693391692,32972271.891975403,1053412119.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
ALAB,"Astera Labs, Inc. Common Stock",583,2024-03-20,2026-07-17,100.1880823032552,938523022.2236632,52042878439.0,高波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－高波动
ALMS,Alumis Inc. Common Stock,514,2024-06-28,2026-07-17,121.60343575236574,18766552.837467194,3653920147.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
APLD,Applied Digital Corporation Common Stock,1068,2022-04-13,2026-07-17,107.14998302766628,667983310.1470947,7369996411.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
ARQQ,Arqit Quantum Inc. Ordinary Shares,1329,2021-04-01,2026-07-17,113.29558233548558,9154639.609146118,419657991.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
ASPI,ASP Isotopes Inc. Common Stock,922,2022-11-10,2026-07-17,108.05573955700832,34104459.046554565,487875857.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
ASST,"Strive, Inc. Class A Common Stock",865,2023-02-03,2026-07-17,148.03728463308863,51184755.16922951,987102000.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
ASTS,"AST SpaceMobile, Inc. Class A Common Stock",1684,2019-11-01,2026-07-17,109.38117714542184,1084819993.0145264,22433600262.0,高波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－高波动
AXTI,AXT Inc Common Stock,2514,2016-07-18,2026-07-17,143.43771062689729,116235801.85689926,3000307218.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
BETR,Better Home & Finance Holding Company Class A Common Stock,1309,2021-04-30,2026-07-17,127.74404739769167,12867271.851158142,441931255.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
BTDR,Bitdeer Technologies Group Class A Ordinary Shares,1248,2021-07-28,2026-07-17,101.99841963947432,84445164.77708817,2613188633.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
BYND,"Beyond Meat, Inc. Common Stock",1812,2019-05-02,2026-07-17,237.54397953553573,26722161.94165945,304618888.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
CAPR,"Capricor Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,381.45223719932426,21895882.327461243,1125807200.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
CAR,"Avis Budget Group, Inc. Common Stock",2514,2016-07-18,2026-07-17,99.63370031424373,104838504.08439636,5672133002.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
CELC,Celcuity Inc. Common Stock,2217,2017-09-20,2026-07-17,183.7729613383109,78570643.5722351,4309964533.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
CIFR,Cipher Digital Inc. Common Stock,1441,2020-10-20,2026-07-17,109.7333152255136,500638923.1599808,7182903899.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
COGT,"Cogent Biosciences, Inc. Common Stock",2086,2018-03-29,2026-07-17,127.83225655544284,59816180.26046753,6677521596.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
CRML,Critical Metals Corp. Ordinary Shares,1114,2022-02-07,2026-07-17,157.53265170684793,65286422.98488617,940088019.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
CRNX,"Crinetics Pharmaceuticals, Inc. Common Stock",2010,2018-07-18,2026-07-17,113.96222173527232,44713971.29402161,8842215843.0,高波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－高波动
CRVS,"Corvus Pharmaceuticals, Inc. Common Stock",2514,2016-07-18,2026-07-17,179.85598621572112,11826170.238924026,1252947318.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
CRWV,"CoreWeave, Inc. Class A Common Stock",327,2025-03-28,2026-07-17,94.1294782008884,2504380805.531311,39941205031.0,高波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－高波动
CTMX,"CytomX Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,93.85466155105728,11222698.15520048,788084567.0,高波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－高波动
