symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
ABUS,Arbutus Biopharma Corporation Common Stock,2514,2016-07-18,2026-07-17,46.66593159792671,4790373.906993866,900771958.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ACIC,American Coastal Insurance Corporation Common Stock,2514,2016-07-18,2026-07-17,32.80615905514257,2076465.446805954,496756482.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ACNB,ACNB Corporation Common Stock,2514,2016-07-18,2026-07-17,24.82334162474497,1583711.972808838,617318060.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ACNT,Ascent Industries Co. Common Stock,2514,2016-07-18,2026-07-17,34.84905534233521,807302.50415802,138194307.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,2514,2016-07-18,2026-07-17,39.48543964418962,810871.4858293533,438514659.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ALCO,"Alico, Inc. Common Stock",2514,2016-07-18,2026-07-17,22.71564029188928,811441.0026550293,303550264.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ALRS,Alerus Financial Corporation Common Stock,2514,2016-07-18,2026-07-17,25.848553006974058,2761841.9335365295,807885969.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
AMAL,Amalgamated Financial Corp. Common Stock (DE),1994,2018-08-09,2026-07-17,30.73960177009858,5113471.947479248,1423776431.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
AMCX,AMC Global Media Inc. Class A Common Stock,2514,2016-07-18,2026-07-17,46.92114000819576,3343425.0,460801699.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
AMSF,"AMERISAFE, Inc. Common Stock",2514,2016-07-18,2026-07-17,28.279333302969334,5916818.889427185,634057837.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ANGO,"AngioDynamics, Inc. Common Stock",2514,2016-07-18,2026-07-17,43.218712744877855,4139918.921375274,558400575.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
APOG,"Apogee Enterprises, Inc. Common Stock",2514,2016-07-18,2026-07-17,41.55808789292186,7158067.456245422,856226103.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ARKO,ARKO Corp. Common Stock,1756,2019-07-23,2026-07-17,47.81389571568953,2895336.0050678253,892998339.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
AROW,Arrow Financial Corporation Common Stock,2514,2016-07-18,2026-07-17,26.661290108355768,2170773.4523773193,686946030.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ARTNA,Artesian Resources Corporation Class A Common Stock,2514,2016-07-18,2026-07-17,20.298055296009775,934375.5460739136,350824403.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ASLE,AerSale Corporation Common Stock,1856,2019-02-28,2026-07-17,44.67029809042912,2148908.0401420593,285879615.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
ASTE,"Astec Industries, Inc. Common Stock",2514,2016-07-18,2026-07-17,41.35522679175847,8770100.343894958,1266663987.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
ASUR,"Asure Software, Inc Common Stock",2514,2016-07-18,2026-07-17,46.79128163065079,735490.4812335968,233468493.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
ATLO,Ames National Corporation Common Stock,2514,2016-07-18,2026-07-17,21.102299397292747,779910.9908103943,262350856.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
ATNI,"ATN International, Inc. Common Stock",2514,2016-07-18,2026-07-17,49.22753499145818,1318789.53166008,356374364.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
AUDC,AudioCodes Ltd. Common Stock,2514,2016-07-18,2026-07-17,41.573983645026935,953436.0252380372,252399264.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
AVBH,"Avidbank Holdings, Inc. Common stock",2514,2016-07-18,2026-07-17,20.345232546441185,1555017.0421600342,353085032.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
AVIR,"Atea Pharmaceuticals, Inc. Common Stock",1433,2020-10-30,2026-07-17,49.501903310698694,1338427.5044202805,389731972.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
