strategy_version,active_condition_ids,signal_lo_pct,signal_hi_pct,entry_day,entry_trend_filter,entry_trend_fast_sma,entry_trend_slow_sma,entry_volume_fast_window,entry_volume_slow_window,baseline_filter,early_stop_days,stop_pct,sma_n,cost_bps,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.5,5,0.0,2096,33.49236641221374,33.32064516129032,33.33,-0.016968034351145026,4.012014245014245,-2.0459103299856527,1.9609922224902105,2.416692307692308,1.777,15.948,247,0.9875314692768695,-1.4361000000000068,-0.12745555555555546,124,3.8716603053435112,-9.715,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.5,3,0.0,2106,35.94491927825261,35.73297491039426,35.71,-0.05443114909781574,3.5428110964332893,-2.073046701260194,1.7089875950597897,2.004808,1.483,15.773,250,0.9590129157687819,-1.257000000000008,-0.4108297491039428,126,3.2559354226020893,-9.02,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,3.0,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.5,5,0.0,3411,32.77631193198475,32.47088339222615,33.33,-0.06428906479038404,3.970826475849729,-2.0316938508504148,1.954441351578459,2.1371553030303034,1.8465,9.573,264,0.9529294591323093,-2.8502000000000027,-0.7748604240282682,113,3.8795074758135444,-13.59,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,3.0,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,5,0.0,3426,30.356100408639815,29.961872791519436,28.57,-0.0682142440163456,3.9888999999999966,-1.8366127409891022,2.1718786497428884,2.3293977272727275,2.01,9.573,264,0.9466697747346702,-2.035699999999996,-0.8257975265017667,118,3.568884997081144,-12.705,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.5,5,0.0,2099,31.634111481657932,31.378375451263544,30.0,-0.07908766079085278,4.069364457831325,-1.9986501742160283,2.0360563896218284,2.301323886639677,1.75,12.867,247,0.9421179816319853,-2.5731999999999977,-0.5993111913357395,111,3.8642210576464984,-9.08,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,5,0.0,2107,29.2358803986711,28.799205776173284,28.57,-0.0741551969625059,4.080230519480518,-1.7905211267605634,2.2787949600251465,2.5300569105691055,1.8835,13.512,246,0.9414753631793971,-3.0979999999999897,-0.5640462093862818,106,3.5557664926435693,-8.73,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,3.0,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.5,3,0.0,3437,35.90340413151004,35.189081272084806,35.29,-0.07991853360488799,3.4831831442463517,-2.075773036768043,1.678017337420295,1.866471482889734,1.6,10.913,263,0.939932840621879,-2.272800000000008,-0.9706074204946998,114,3.265347686936282,-13.495000000000001,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,5,0.0,2101,30.842455973346027,30.63637992831541,28.57,-0.07731080437886721,3.8763240740740743,-1.8405285615966975,2.1060928664487992,2.5549079497907945,1.937,17.223,239,0.9392627684619181,-2.0000000000000018,-0.5821806451612905,113,3.5192765349833413,-8.754999999999999,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",1.5,5,0.0,2114,25.82781456953642,25.398880866425994,23.08,-0.07392242194891198,4.059058608058609,-1.5130854591836735,2.6826367165331932,2.966181434599157,2.049,16.629,237,0.9341325805234856,-2.8125999999999984,-0.5641570397111918,103,3.1121097445600756,-7.72,True
v4_t0_trend_volume,"T0-01, T0-02, T0-03, T0-05, T0-06, T0-07, T0-08, EN-01, EX-01, EX-02, EX-03",2.0,3.0,t3,t0 收盘>SMA5；SMA5>SMA10；收盘>SMA20；量SMA5>量SMA20,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",1.5,5,0.0,3446,26.639582124201972,26.453462897526503,25.0,-0.07512942542077775,3.9544313725490206,-1.5383955696202525,2.5704906141436417,2.699296577946768,2.347,10.952,263,0.933428173778119,-2.237700000000009,-0.9148469964664309,119,3.1288450377248984,-11.5,True
