strategy_version,active_condition_ids,signal_lo_pct,signal_hi_pct,entry_day,entry_trend_filter,entry_trend_fast_sma,entry_trend_slow_sma,entry_volume_fast_window,entry_volume_slow_window,baseline_filter,early_stop_days,stop_pct,sma_n,cost_bps,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,median_individual_max_drawdown_pct,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",3.0,4.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",5.0,10,0.0,16232,23.74322326269098,23.604845679012342,23.53,0.021920096106456403,13.115193565127145,-4.05478663758281,3.2344965931291365,3.316918495297806,2.974,15.453,319,1.0070887404153315,-10.0883,1.0981021604938255,142,4.970798422868408,-52.33,-80.35499999999999,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",3.0,4.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",5.0,8,0.0,16420,25.45066991473812,25.209969135802467,25.0,0.020205359317904997,12.004768365637707,-4.071248672494078,2.9486698876301984,3.0572225705329155,2.794,16.133,319,1.0066569622958557,-7.806049999999998,1.0239429012345678,136,4.561997563946407,-50.605,-80.4675,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",3.0,4.0,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",5.0,10,0.0,12519,23.53223100886652,23.258703703703702,22.81,-0.012237958303378867,13.028049898167005,-4.025262926982136,3.236571159324128,3.300716981132075,2.8555,21.377,318,0.996023965714631,-10.513049999999996,-0.472876234567901,135,4.961658279415289,-47.275,-69.01249999999999,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",4.0,5.0,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",5.0,3,0.0,8878,33.71254787114215,33.52481481481482,33.33,-0.018333408425320993,8.437306715669894,-4.3187124893797835,1.953662517803214,2.114590625,1.7915,16.213,320,0.9935964816010945,-5.810500000000001,-0.5023126543209882,140,3.1307726965532776,-28.365000000000002,-47.7725,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",3.0,4.0,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",5.0,8,0.0,12625,25.275247524752476,24.86962962962963,25.0,-0.020607366336633653,11.862572547790663,-4.040029361882552,2.93625899348984,3.0332201257861637,2.7350000000000003,17.288,318,0.9931737104173659,-9.470699999999997,-0.8030083333333329,136,4.559445544554455,-43.805,-65.00750000000001,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",4.0,5.0,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",5.0,8,0.0,8706,25.281415116011946,25.1804012345679,25.0,-0.03671824029405005,12.245695138573373,-4.192535588009223,2.9208327231846107,3.137438485804416,2.481,39.854,317,0.9882794837642794,-11.065699999999994,-0.9865645061728389,124,4.44486560992419,-35.959999999999994,-56.245000000000005,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",3.0,4.0,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",4.0,10,0.0,12631,21.653075765972606,21.336574074074072,21.15,-0.03797688227377087,13.050012797074947,-3.6551607720291015,3.570297891392189,3.674823899371069,3.1185,23.419,318,0.986738752432076,-15.03705,-1.4804901234567898,124,4.5462750376058905,-43.754999999999995,-65.845,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",3.0,4.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",5.0,3,0.0,17062,33.829562771070215,33.37055555555556,33.525,-0.0370397960379791,8.120326403326406,-4.2074842338352525,1.9299719148143963,2.0120532915360503,1.84,6.427,319,0.9866951596412898,-10.57785,-1.950658641975308,145,3.192826163404056,-44.85,-67.045,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",3.0,4.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",5.0,5,0.0,16778,29.926093694123256,29.62888888888889,30.0,-0.03886929312194539,9.54018562039434,-4.1297457684783545,2.3101145095208886,2.4030313479623824,2.186,11.473,319,0.9865679700737792,-8.482400000000002,-2.0128740740740745,141,3.7765526284420075,-47.655,-73.075,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",3.0,4.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",4.0,10,0.0,16429,21.69943392781058,21.49361111111111,21.54,-0.04002939923306358,13.083568863955119,-3.676971859452736,3.558245579258368,3.6736081504702196,3.234,18.584,319,0.9860964726342138,-15.498600000000007,-2.029767901234568,135,4.5299774788483775,-51.86,-78.095,False
