搜索阶段,条件候选编号,启用条件,早期止损触发,强制平仓日,信号下限 (%),信号上限 (%),入场确认日,早期止损日,止损幅度 (%),SMA 周期,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
条件筛选,37,T0-01、T0-03、T0-08、EX-02、EX-03、EX-04,收盘价,t4,4.0,5.0,t2,"t3,t4",4.0,5,6042,38.08341608738829,38.06133540372671,37.93,0.1695266468056934,5.134378096479792,-2.8842352312215986,1.7801523401769004,2.1449556962025316,1.7275,15.929,316,1.0949289384314103,3.4009999999999985,3.1809838509316775,176,1.414432307183052,-25.0675,False
条件筛选,23,T0-02、T0-04、T0-07、T0-08、EX-01、EX-03、EX-04,收盘价,t5,4.0,5.0,t2,"t3,t4",4.0,5,34092,43.799131761116975,43.27332307692308,43.55,0.11927962571864369,6.354940798285565,-4.740370302713987,1.3406000781515304,1.3696738461538462,1.26,3.999,325,1.044772630293778,2.1759000000000084,12.512293538461538,169,2.6239000351988735,-76.07,False
条件筛选,20,T0-01、T0-02、T0-03、T0-04、T0-06、EX-02、EX-03、EX-04,盘中低价,t5,4.0,5.0,t2,"t3,t4",4.0,5,5556,33.981281497480204,33.84993808049535,33.33,0.18192962562994958,5.737496822033896,-2.6776425845147194,2.1427418488243557,2.7123653846153846,2.0869999999999997,47.971,312,1.1029177217096668,1.513399999999998,3.129462848297214,169,1.7057235421166306,-23.235,False
条件筛选,48,T0-01、T0-03、T0-04、T0-05、EN-01、EX-03、EX-04、EX-05,盘中低价,t6,4.0,5.0,t2,"t3,t4",4.0,5,5687,32.688588007736946,32.692445820433434,33.33,0.16091348689994722,8.440034427111346,-3.8596940961337505,2.186710712531782,2.580515923566879,2.068,16.411,314,1.0619380979497117,0.39610000000001033,2.8332142414860684,163,2.7712326358361175,-31.244999999999997,False
条件筛选,35,T0-02、T0-03、T0-04、T0-05、T0-06、T0-07、EX-02、EX-03、EX-04、EX-05,收盘价,t5,4.0,5.0,t2,"t3,t4",4.0,5,35057,32.58978235445132,32.40141538461538,32.34,0.008732635422312231,4.848238336980308,-2.3309488405551786,2.0799419758288513,2.4592953846153844,2.01,90.658,325,1.0055567025194418,-0.08450000000000957,0.9418190769230771,162,1.6780386228142739,-65.99,False
条件筛选,46,T0-01、T0-03、T0-04、T0-05、T0-07、T0-08、EX-03、EX-04、EX-05,盘中低价,t4,4.0,5.0,t2,"t3,t4",4.0,5,2936,34.23024523160763,34.262257053291535,33.33,0.11190054495912817,5.045368159203982,-2.4557509062661813,2.054511370159751,2.662514084507042,1.841,16.792,284,1.0692800081449847,-0.5458999999999992,1.0298742946708461,151,1.590258855585831,-13.57,True
条件筛选,19,T0-01、T0-02、T0-05、T0-07、T0-08、EN-01、EX-03、EX-04,收盘价,t4,4.0,5.0,t2,"t3,t4",4.0,5,2504,42.81150159744409,43.114922118380065,42.86,0.13356709265175717,5.581916044776121,-3.9450851955307233,1.4149038026098189,1.7996713780918727,1.341,21.815,283,1.0592061307205898,-0.9745999999999921,1.0419809968847351,151,1.8099041533546325,-14.7,True
条件筛选,27,T0-01、T0-02、T0-04、T0-05、EX-01、EX-02、EX-03,收盘价,未启用,4.0,5.0,t2,"t3,t4",4.0,5,14633,34.80489304995558,34.97578461538462,34.78,0.029792797102439723,8.630219909679955,-4.561609224318657,1.89192442519427,1.971313664596273,1.865,5.53,322,1.0100184736756397,-1.2826000000000004,1.3414800000000002,159,3.992209389735529,-64.77,False
条件筛选,28,T0-03、T0-04、T0-05、T0-07、EX-02、EX-04、EX-05,盘中低价,t4,4.0,5.0,t2,"t3,t4",4.0,5,48027,30.320444749828223,29.620061538461538,29.91,0.024424053136777205,5.135540997115778,-2.1996334678021814,2.334725795133078,2.4853415384615385,2.329,15.41,325,1.015934801084384,-1.3670999999999878,3.609145230769231,159,1.5167926374747538,-69.37,False
条件筛选,32,T0-01、T0-02、T0-03、T0-04、T0-05、T0-06、T0-07、EX-02、EX-04,盘中低价,t5,4.0,5.0,t2,"t3,t4",4.0,5,4579,29.373225595108103,28.889226006191954,28.57,0.056808473465822275,6.681196282527879,-2.6982322201607927,2.47613835184643,3.154175675675676,2.2725,27.466,296,1.0298128759275917,-1.561800000000002,0.8054167182662539,151,1.8711509063114218,-21.03,False
条件筛选,3,T0-01、T0-02、T0-03、T0-05、T0-06、T0-07、T0-08、EN-01、EX-01、EX-02、EX-03,收盘价,未启用,4.0,5.0,t2,"t3,t4",4.0,5,997,34.10230692076229,36.22461805555555,33.33,0.30103410230692085,8.57633529411765,-3.981465753424656,2.154064815637487,3.8287823529411766,1.42,74.704,170,1.1147370388435676,-1.7546499999999965,1.0421222222222224,120,4.147442326980943,-8.88,True
