symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
AARD,"Aardvark Therapeutics, Inc. Common Stock",357,2025-02-13,2026-07-17,123.97779421314269,1309134.0145111084,128241166.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ACRS,"Aclaris Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,96.6136436606684,3822241.0287737846,793289702.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
ACRV,"Acrivon Therapeutics, Inc. Common Stock",919,2022-11-15,2026-07-17,93.4253587234352,824340.4867053032,74903026.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ADV,Advantage Solutions Inc. Class A Common Stock,1643,2020-01-02,2026-07-17,93.30001198685136,1014267.7640953064,508145602.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
AGEN,Agenus Inc. Common Stock,2514,2016-07-18,2026-07-17,116.09454909730196,1995127.4859666824,208628579.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AIFC,AI Financial Corporation Common Stock,2514,2016-07-18,2026-07-17,123.53514101226332,4502503.089976311,77539345.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AIFF,"Firefly Neuroscience, Inc. Common Stock",2514,2016-07-18,2026-07-17,185.63514084193153,478376.495051384,17946694.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AIIO,Robo.ai Inc. Class B Ordinary Shares,1589,2020-03-20,2026-07-17,240.7635059626954,1436290.207849741,683868268.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
AIP,"Arteris, Inc. Common Stock",1184,2021-10-27,2026-07-17,93.60827829895524,8215857.110309601,1433178321.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
AIRE,reAlpha Tech Corp. Common Stock,685,2023-10-23,2026-07-17,389.67928736119865,1046548.988948822,7457005.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AIRS,"AirSculpt Technologies, Inc. Common Stock",1182,2021-10-29,2026-07-17,119.34342924186564,3702628.461146354,313928280.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
ALDX,"Aldeyra Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,111.76625995270852,3685427.887427807,101942605.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ALEC,"Alector, Inc. Common Stock",1870,2019-02-07,2026-07-17,103.22168151574968,1660665.9779310226,166537781.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ALMU,"Aeluma, Inc. Common Stock",849,2023-02-28,2026-07-17,124.89994377358732,7268683.081579208,267257891.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ALOY,REalloys Inc. Common Stock,2504,2016-08-01,2026-07-17,144.5469338285232,1876704.004740715,611128790.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
ALP,Alpha Compute Corp Common Stock,2514,2016-07-18,2026-07-17,175.9759874043213,521452.0020484924,4703322.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ALTO,"Alto Ingredients, Inc. Common Stock",2514,2016-07-18,2026-07-17,98.08291625234892,3162146.8644857407,452513294.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
ALXO,ALX Oncology Holdings Inc. Common Stock,1507,2020-07-17,2026-07-17,117.6923340980006,868926.516532898,282582126.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AMPG,"Amplitech Group, Inc. Common Stock",1386,2021-01-08,2026-07-17,112.1217605938154,1832206.003117561,168249625.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AMTX,"Aemetis, Inc. (DE) Common Stock",2514,2016-07-18,2026-07-17,95.92633585701648,1968681.4378380775,110475369.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ARAI,Arrive AI Inc. Common Stock,294,2025-05-15,2026-07-17,158.19760963050447,620303.0087471008,18824943.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ARAY,Accuray Incorporated Common Stock,2514,2016-07-18,2026-07-17,100.84583654430936,801936.9881272316,30847286.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ARBE,Arbe Robotics Ltd. Ordinary Shares,1433,2020-10-30,2026-07-17,107.75861772244016,2197891.5536642075,79237813.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,2514,2016-07-18,2026-07-17,91.85197648826056,4196853.508973122,171959567.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AREC,American Resources Corporation Class A Common Stock,2273,2017-06-30,2026-07-17,129.13315856022683,7853258.572256565,167944897.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ARTV,"Artiva Biotherapeutics, Inc. Common Stock",500,2024-07-19,2026-07-17,188.09075314361564,860417.5000905991,241234719.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ASBP,"Aspire Biopharma Holdings, Inc. Common Stock",1070,2022-04-11,2026-07-17,2898.241337305981,695013.1830148697,8082260.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ASTI,"Ascent Solar Technologies, Inc. Common Stock",977,2022-08-24,2026-07-17,166.62296430712638,2821171.460223198,30038279.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ASYS,"Amtech Systems, Inc. Common Stock",2514,2016-07-18,2026-07-17,92.8532417216536,2666991.97974205,242669724.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ATLX,Atlas Lithium Corporation Common Stock,2514,2016-07-18,2026-07-17,96.71100933244476,2482520.9988474846,89652296.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ATOM,Atomera Incorporated Common Stock,2499,2016-08-08,2026-07-17,146.8695748049186,2308988.5197639465,217586730.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ATRA,"Atara Biotherapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,145.31122853576767,713487.7522945404,75595343.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ATYR,"aTyr Pharma, Inc. Common Stock",2514,2016-07-18,2026-07-17,142.24214011940578,1619869.3447977304,49986508.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AZI,Autozi Internet Technology (Global) Ltd. Class A Ordinary Shares,472,2024-08-28,2026-07-17,256.7140851899555,459962.24801659584,5506023.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
AZIO,"Azio AI Holdings, Inc. Common Stock",2284,2017-06-15,2026-07-17,468.5831357762221,389996.00172042847,22628758.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BDSX,"Biodesix, Inc. Common Stock",1435,2020-10-28,2026-07-17,115.6460690619177,738021.0089874268,209083784.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BEAT,"Heartbeam, Inc. Common Stock",1173,2021-11-11,2026-07-17,152.79347032102936,422396.00603580475,31028321.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
