strategy_version,active_condition_ids,signal_lo_pct,signal_hi_pct,entry_day,entry_trend_filter,entry_trend_fast_sma,entry_trend_slow_sma,entry_volume_fast_window,entry_volume_slow_window,baseline_filter,early_stop_days,stop_pct,sma_n,cost_bps,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,median_individual_max_drawdown_pct,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,5,0.0,5922,23.134076325565687,23.936017699115048,22.58,-0.5005410334346506,5.009394160583941,-2.1588475395430575,2.320402005620198,2.424050505050505,2.02,10.523,99,0.6983660347906152,-23.252799999999997,-26.23166371681416,24,3.147078689631881,-39.28,-67.13,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",1.5,2.0,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,5,0.0,3839,23.59989580619953,22.74432432432433,23.08,-0.5034951810367281,4.746086092715231,-2.12508421411524,2.233363770334731,2.2729393939393936,2.034,15.017,99,0.6898858766921494,-15.136700000000003,-17.413504504504505,20,3.1419640531388384,-28.17,-48.504999999999995,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,5,0.0,2920,21.78082191780822,23.586116504854367,21.05,-0.527309589041096,5.357584905660378,-2.1660105078809107,2.4734805700005142,2.546690721649485,2.308,10.531,97,0.6887635275904763,-15.717099999999995,-14.94894854368932,27,3.136986301369863,-25.65,-36.765,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,5,0.0,2840,22.711267605633804,24.884761904761906,22.22,-0.5436056338028167,5.113322480620154,-2.2058920273348526,2.318029358308187,2.3156770833333336,1.9344999999999999,12.906,96,0.6811531627569429,-15.422999999999998,-14.703188571428573,26,3.121830985915493,-24.71,-39.33,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",2.0,3.0,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,5,0.0,4549,21.36733347988569,22.56638888888889,21.04,-0.6344535062651132,5.245704732510288,-2.2323047246295786,2.3499053129409755,2.47369387755102,2.0505,10.79,98,0.6385526281893538,-24.78865,-26.723567592592595,23,3.0578149043745877,-36.155,-57.192499999999995,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",2.0,3.0,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,5,0.0,4724,20.618120237087215,22.015999999999995,19.51,-0.642040431837426,5.3642813141683785,-2.2020824,2.4360038998397053,2.513183673469388,2.253,8.097,98,0.6327128611897486,-24.047299999999993,-28.885569523809526,22,3.042125317527519,-35.05,-59.26,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",2.0,2.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",2.0,5,0.0,3160,21.139240506329113,21.71811320754717,20.415,-0.6514791139240507,5.293881736526947,-2.2451793739967894,2.357888103658713,2.291736842105263,2.044,8.682,95,0.6320507880421437,-14.193449999999995,-19.421422641509437,24,3.0598101265822786,-28.255000000000003,-40.645,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t2,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t3,t4",2.0,5,0.0,6286,21.985364301622653,21.736875,21.65,-0.6224355711104043,4.850593342981186,-2.164794045676998,2.240671971852295,2.2558300000000004,2.086,5.815,100,0.6314459167932928,-31.228649999999995,-34.93418392857142,19,3.110404072542157,-43.235,-64.545,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",1.5,2.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",2.0,5,0.0,7001,21.096986144836453,21.82620689655172,20.0,-0.6578201685473506,5.0134448205822615,-2.1741956915278777,2.305884810699423,2.2740408163265307,1.9555,12.596,98,0.6165455211777475,-40.739200000000004,-39.70169827586208,21,3.0614197971718324,-54.91,-80.81,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",2.5,3.5000000000000004,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",2.0,5,0.0,3489,20.492977930639153,20.880194174757282,20.0,-0.703044998566925,5.472857342657345,-2.2948871665465034,2.3848045439607644,2.639278350515464,2.099,22.775,97,0.6146825693663847,-20.635400000000004,-23.814974757281554,18,2.881627973631413,-33.74,-46.504999999999995,False
