strategy_version,active_condition_ids,signal_lo_pct,signal_hi_pct,entry_day,entry_trend_filter,entry_trend_fast_sma,entry_trend_slow_sma,entry_volume_fast_window,entry_volume_slow_window,baseline_filter,early_stop_days,stop_pct,sma_n,cost_bps,trades,win_rate_pct,mean_symbol_win_rate_pct,median_symbol_win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,mean_symbol_payoff_ratio,median_symbol_payoff_ratio,max_symbol_payoff_ratio,symbols_with_payoff_ratio,profit_factor,median_symbol_cumulative_return_pct,mean_symbol_cumulative_return_pct,profitable_symbols,avg_days_held,median_individual_max_drawdown_pct,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",7.000000000000001,8.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",9.0,3,0.0,5226,27.66934557979334,26.45017857142857,26.09,-0.8841008419441253,16.435265560165984,-7.5094457671957615,2.1886123250216074,2.4695388349514564,1.454,60.232,412,0.837230685744584,-19.367100000000004,-9.167309523809525,147,3.2416762342135477,-28.205,-48.7425,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",7.000000000000001,8.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",9.0,5,0.0,5204,25.01921598770177,23.994623015873017,23.08,-1.0061331667947737,18.187209677419357,-7.410472578165037,2.454257739379265,2.821596534653466,1.521,58.523,404,0.818923854425137,-20.300200000000004,-10.388769246031746,132,3.5976172175249808,-29.715000000000003,-51.665,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",7.000000000000001,8.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",7.000000000000001,3,0.0,5252,24.904798172124902,23.26986111111111,23.53,-0.9622505712109676,16.639145259938847,-6.799630324543612,2.4470661588585196,2.7558227848101264,1.562,63.582,395,0.8115520408485281,-20.999999999999996,-10.02728214285714,138,2.916031987814166,-27.259999999999998,-46.48,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",7.000000000000001,8.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",9.0,8,0.0,5172,20.63031709203403,19.64190476190476,18.75,-1.1499553364269142,22.422642924086194,-7.277108160779531,3.0812573385860267,3.348472440944882,2.073,70.707,381,0.8009010400747647,-22.037600000000005,-11.800778968253969,143,4.178074245939675,-30.81,-54.6575,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",6.0,7.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",9.0,3,0.0,6586,27.755845733373825,25.838641732283467,25.0,-1.0669521712723966,15.10418161925602,-7.27982156368222,2.074801076802238,2.563200923787529,1.596,32.557,433,0.7971283306181455,-19.273650000000004,-13.832575787401574,156,3.209687215305193,-32.075,-58.6,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",5.0,6.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",9.0,3,0.0,9460,27.124735729386888,26.710964566929135,26.09,-1.0845364693446093,15.176821512081041,-7.137139396576731,2.126457207681901,2.216913502109705,1.4905,53.292,474,0.7914839692226192,-31.05945,-20.19626929133858,122,3.1529598308668074,-46.22,-74.545,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",7.000000000000001,8.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",7.000000000000001,5,0.0,5233,22.663863940378366,21.125039682539683,20.939999999999998,-1.0964838524746807,18.11609527824622,-6.72685668396343,2.6930996346977785,3.0371528497409326,1.6,61.779,386,0.7892300700974948,-22.425150000000002,-11.384753571428572,124,3.2316071087330402,-28.71,-48.04,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",7.000000000000001,8.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",7.000000000000001,8,0.0,5204,18.87009992313605,17.539305555555558,16.67,-1.1467323212913154,22.44257942973522,-6.6333983893889075,3.383270250379566,3.6202176308539946,2.177,74.624,363,0.786918001679863,-22.39715,-11.840519047619045,125,3.7599923136049194,-30.035,-51.4,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",7.000000000000001,8.5,t3,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t4,t5",5.0,3,0.0,5270,20.569259962049337,18.605019841269844,17.65,-0.9733254269449728,17.08822324723246,-5.650515766841848,3.0241882249951324,3.338030303030303,1.84,75.569,363,0.7831386277003767,-19.4098,-10.177456349206349,118,2.4857685009487667,-24.355,-42.144999999999996,False
v2_core_breakout_only,"T0-01, EN-01, EX-01, EX-02, EX-03",5.0,6.5,t1,tN-1/tN 任一天收盘>SMA5>SMA10且5日均量>20日均量,5,10,5,20,t0-15~t0；涨幅≤20%；RSI14≤90,"t2,t3",7.000000000000001,3,0.0,9503,24.907923813532566,24.42840551181102,24.28,-1.080596548458383,15.371193916349789,-6.537629624439453,2.3511876321179237,2.4874506437768242,1.6295,89.425,466,0.7798857166379374,-30.208499999999994,-20.21433937007874,122,2.852993791434284,-47.644999999999996,-75.5,False
