代码,行业板块,Nasdaq板块,细分行业,数据源,分类快照UTC
AACB,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
AACP,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
AAL,非必需消费,Consumer Discretionary,Air Freight/Delivery Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AAME,金融,Finance,Life Insurance,Nasdaq screener download,2026-08-09T14:32:06+00:00
AAOI,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
AAON,工业,Industrials,Industrial Machinery/Components,Nasdaq screener download,2026-08-09T14:32:06+00:00
AAPL,信息技术,Technology,Computer Manufacturing,Nasdaq screener download,2026-08-09T14:32:06+00:00
AARD,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ABAT,工业,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Nasdaq screener download,2026-08-09T14:32:06+00:00
ABEO,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ABLV,非必需消费,Consumer Discretionary,Other Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ABNB,非必需消费,Consumer Discretionary,Diversified Commercial Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ABOS,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ABSI,医疗保健,Health Care,Biotechnology: Commercial Physical & Biological Resarch,Nasdaq screener download,2026-08-09T14:32:06+00:00
ABTC,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ABTS,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ABUS,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ABVC,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACAA,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACAD,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACCL,非必需消费,Consumer Discretionary,Professional Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACDC,能源,Energy,Oilfield Services/Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACET,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACFN,非必需消费,Consumer Discretionary,Military/Government/Technical,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACGC,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACGL,金融,Finance,Property-Casualty Insurers,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACHC,医疗保健,Health Care,Medical Specialities,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACIC,金融,Finance,Property-Casualty Insurers,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACIU,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACIW,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACLS,信息技术,Technology,Industrial Machinery/Components,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACMR,信息技术,Technology,Industrial Machinery/Components,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACNB,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACNT,工业,Industrials,Major Chemicals,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACON,医疗保健,Health Care,Medical Specialities,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACRS,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACRV,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACT,金融,Finance,Specialty Insurers,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACTU,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ACXP,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADBE,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADEA,通信服务,Telecommunications,Cable & Other Pay Television Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADGM,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADI,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADIL,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADMA,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ADP,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADPT,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
ADSE,非必需消费,Consumer Discretionary,Industrial Specialties,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADSK,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADTN,公用事业,Utilities,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADUR,工业,Industrials,Major Chemicals,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADUS,医疗保健,Health Care,Medical/Nursing Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADV,非必需消费,Consumer Discretionary,Business Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
ADVB,医疗保健,Health Care,Medical Specialities,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEBI,工业,Industrials,Auto Manufacturing,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEHL,非必需消费,Consumer Discretionary,Telecommunications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEHR,工业,Industrials,Electrical Products,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEI,金融,Finance,Real Estate,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEIS,信息技术,Technology,Industrial Machinery/Components,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEMD,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
AENT,非必需消费,Consumer Discretionary,Durable Goods,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEP,公用事业,Utilities,Electric Utilities: Central,Nasdaq screener download,2026-08-09T14:32:06+00:00
AESP,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEVA,非必需消费,Consumer Discretionary,Auto Parts:O.E.M.,Nasdaq screener download,2026-08-09T14:32:06+00:00
AEYE,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
AFCG,金融,Finance,Real Estate,Nasdaq screener download,2026-08-09T14:32:06+00:00
AFRI,必需消费,Consumer Staples,Packaged Foods,Nasdaq screener download,2026-08-09T14:32:06+00:00
AFRM,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AGCC,必需消费,Consumer Staples,Beverages (Production/Distribution),Nasdaq screener download,2026-08-09T14:32:06+00:00
AGEN,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
AGIO,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AGMH,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AGNC,房地产,Real Estate,Real Estate Investment Trusts,Nasdaq screener download,2026-08-09T14:32:06+00:00
AGNT,金融,Finance,Real Estate,Nasdaq screener download,2026-08-09T14:32:06+00:00
AGPU,医疗保健,Health Care,Industrial Specialties,Nasdaq screener download,2026-08-09T14:32:06+00:00
AGRZ,必需消费,Consumer Staples,Farming/Seeds/Milling,Nasdaq screener download,2026-08-09T14:32:06+00:00
AGYS,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AHCO,医疗保健,Health Care,Medical/Nursing Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AHMA,非必需消费,Consumer Discretionary,Services-Misc. Amusement & Recreation,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIAI,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIDX,医疗保健,Health Care,Precision Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIFA,非必需消费,Consumer Discretionary,Services-Misc. Amusement & Recreation,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIFC,金融,Finance,Investment Bankers/Brokers/Service,Nasdaq screener download,2026-08-09T14:32:06+00:00
AIFF,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
