代码,Nasdaq板块,细分行业,原因
ACOG,,,Nasdaq 当前快照没有该代码
ACTG,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
ADAC,,,Nasdaq 当前快照没有该代码
AFBI,,,Nasdaq 当前快照没有该代码
ALBT,,,Nasdaq 当前快照没有该代码
ALDF,,,Nasdaq 当前快照没有该代码
ALF,,,Nasdaq 当前快照没有该代码
ALIS,,,Nasdaq 当前快照没有该代码
AMOD,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
ANSC,,,Nasdaq 当前快照没有该代码
APM,,,Nasdaq 当前快照没有该代码
APPS,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
ATII,,,Nasdaq 当前快照没有该代码
BBCQ,,,Nasdaq 当前快照没有该代码
BEAG,,,Nasdaq 当前快照没有该代码
BEEM,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
BELFA,,,Nasdaq 当前快照没有该代码
BELFB,,,Nasdaq 当前快照没有该代码
BHST,,,Nasdaq 当前快照没有该代码
BIXI,,,Nasdaq 当前快照没有该代码
BLNK,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
BLRK,,,Nasdaq 当前快照没有该代码
BLUW,,,Nasdaq 当前快照没有该代码
BNZI,,,Nasdaq 当前快照没有该代码
BOT,,,Nasdaq 当前快照没有该代码
BPAC,,,Nasdaq 当前快照没有该代码
BTQ,,,Nasdaq 当前快照没有该代码
BYRN,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
CAPN,,,Nasdaq 当前快照没有该代码
CAQ,,,Nasdaq 当前快照没有该代码
CBAT,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
CCII,,,Nasdaq 当前快照没有该代码
CCIX,,,Nasdaq 当前快照没有该代码
CCRN,,,Nasdaq 当前快照没有该代码
CEPV,,,Nasdaq 当前快照没有该代码
CHAR,,,Nasdaq 当前快照没有该代码
CRAC,,,Nasdaq 当前快照没有该代码
CREG,,,Nasdaq 当前快照没有该代码
DFLI,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
DMAA,,,Nasdaq 当前快照没有该代码
DRDB,,,Nasdaq 当前快照没有该代码
DTSQ,,,Nasdaq 当前快照没有该代码
DYNC,,,Nasdaq 当前快照没有该代码
EA,,,Nasdaq 当前快照没有该代码
ELBM,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
ELPW,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
ELSE,,,Nasdaq 当前快照没有该代码
EMAT,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
ENVX,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
EOSE,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
EPOW,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
FAC,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
FACT,,,Nasdaq 当前快照没有该代码
FERA,,,Nasdaq 当前快照没有该代码
FGMC,,,Nasdaq 当前快照没有该代码
FLNC,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
FLUX,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
FSHP,,,Nasdaq 当前快照没有该代码
FVAV,,,Nasdaq 当前快照没有该代码
FVN,,,Nasdaq 当前快照没有该代码
GAMB,,,Nasdaq 当前快照没有该代码
GAUZ,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
GCGR,,,Nasdaq 当前快照没有该代码
GPAC,,,Nasdaq 当前快照没有该代码
GREE,,,Nasdaq 当前快照没有该代码
GSHR,,,Nasdaq 当前快照没有该代码
GTEN,,,Nasdaq 当前快照没有该代码
HCIC,,,Nasdaq 当前快照没有该代码
HLXC,,,Nasdaq 当前快照没有该代码
HVII,,,Nasdaq 当前快照没有该代码
IDAC,,,Nasdaq 当前快照没有该代码
IDCC,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
INAC,,,Nasdaq 当前快照没有该代码
ITHA,,,Nasdaq 当前快照没有该代码
JBDI,,,Nasdaq 当前快照没有该代码
JYNT,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
KCHV,,,Nasdaq 当前快照没有该代码
KFII,,,Nasdaq 当前快照没有该代码
KOYN,,,Nasdaq 当前快照没有该代码
KRAQ,,,Nasdaq 当前快照没有该代码
KVAC,,,Nasdaq 当前快照没有该代码
LASE,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
LKSP,,,Nasdaq 当前快照没有该代码
LPAA,,,Nasdaq 当前快照没有该代码
LPBB,,,Nasdaq 当前快照没有该代码
LPRO,,,Nasdaq 当前快照没有该代码
LSH,,,Nasdaq 当前快照没有该代码
MACI,,,Nasdaq 当前快照没有该代码
MBAV,,,Nasdaq 当前快照没有该代码
MBVI,,,Nasdaq 当前快照没有该代码
MESH,,,Nasdaq 当前快照没有该代码
MVST,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
NEOV,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
NFBK,,,Nasdaq 当前快照没有该代码
NHIC,,,Nasdaq 当前快照没有该代码
NOEM,,,Nasdaq 当前快照没有该代码
NOVT,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
NTWO,,,Nasdaq 当前快照没有该代码
NVVE,,,Nasdaq 当前快照没有该代码
OHAC,,,Nasdaq 当前快照没有该代码
OIM,,,Nasdaq 当前快照没有该代码
ORIQ,,,Nasdaq 当前快照没有该代码
PACH,,,Nasdaq 当前快照没有该代码
PCSC,,,Nasdaq 当前快照没有该代码
PGAC,,,Nasdaq 当前快照没有该代码
PLMK,,,Nasdaq 当前快照没有该代码
POLA,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
POLE,,,Nasdaq 当前快照没有该代码
PPHC,,,Nasdaq 当前快照没有该代码
PPSI,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
PSTV,,,Nasdaq 当前快照没有该代码
PWRL,,,Nasdaq 当前快照没有该代码
QS,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
QUMS,,,Nasdaq 当前快照没有该代码
RACD,,,Nasdaq 当前快照没有该代码
RDAC,,,Nasdaq 当前快照没有该代码
REFR,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
RFAI,,,Nasdaq 当前快照没有该代码
RFAM,,,Nasdaq 当前快照没有该代码
RIBB,,,Nasdaq 当前快照没有该代码
RMCO,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
RUN,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
SCPQ,,,Nasdaq 当前快照没有该代码
SGRP,,,Nasdaq 当前快照没有该代码
SHOT,,,Nasdaq 当前快照没有该代码
SIMA,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
SKYT,,,Nasdaq 当前快照没有该代码
SLDP,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
SPEG,,,Nasdaq 当前快照没有该代码
STI,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
SUMA,,,Nasdaq 当前快照没有该代码
SUPX,,,Nasdaq 当前快照没有该代码
SVCC,,,Nasdaq 当前快照没有该代码
TDAC,,,Nasdaq 当前快照没有该代码
TMS,,,Nasdaq 当前快照没有该代码
TMTS,,,Nasdaq 当前快照没有该代码
TOI,,,Nasdaq 当前快照没有该代码
TRIN,,,Nasdaq 当前快照没有该代码
TVAI,,,Nasdaq 当前快照没有该代码
TVIV,,,Nasdaq 当前快照没有该代码
UBXG,,,Nasdaq 当前快照没有该代码
UCAR,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
ULBI,Miscellaneous,Industrial Machinery/Components,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
VHC,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
VHCP,,,Nasdaq 当前快照没有该代码
VSEE,,,Nasdaq 当前快照没有该代码
VSTD,,,Nasdaq 当前快照没有该代码
VYNE,,,Nasdaq 当前快照没有该代码
WENN,,,Nasdaq 当前快照没有该代码
WGRX,,,Nasdaq 当前快照没有该代码
XCBE,,,Nasdaq 当前快照没有该代码
XELB,Miscellaneous,Multi-Sector Companies,Nasdaq 板块未纳入十一大板块映射：Miscellaneous
