策略特征组,标的数,年化波动率中位数,日均成交额中位数,历史天数中位数
中流动性－中波动,325,72.21860422508345,1887761.5120232105,2186.0
中流动性－低波动,288,30.797250744781316,2585432.968080044,2514.0
中流动性－高波动,280,124.65542213914763,1289451.738345623,1470.0
低流动性－中波动,221,74.33744159071807,96350.00030398369,2514.0
低流动性－低波动,162,24.99189240507834,58140.999990701675,1827.0
低流动性－高波动,510,140.68617425581851,117380.50156283379,1210.5
历史不足1年（不进入主验证）,272,54.550969383250816,158177.25,111.0
高流动性－中波动,347,66.04382252862762,39527751.87149048,2514.0
高流动性－低波动,443,35.43205851644553,62350021.490097046,2514.0
高流动性－高波动,103,112.29564245303759,34888358.08496475,1527.0
