symbol,name,lastsale,netchange,pctchange,marketCap,url,yahoo_symbol
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,$10.54,-0.03,-0.284%,NA,/market-activity/stocks/aacb,AACB
AACP,Apogee Acquisition Corp Class A Ordinary Shares,$9.98,UNCH,--,NA,/market-activity/stocks/aacp,AACP
AAL,American Airlines Group Inc. Common Stock,$14.98,-0.62,-3.974%,"9,907,549,352",/market-activity/stocks/aal,AAL
AAME,Atlantic American Corporation Common Stock,$1.58,-0.02,-1.25%,"32,227,620",/market-activity/stocks/aame,AAME
AAOI,"Applied Optoelectronics, Inc. Common Stock",$102.41,2.17,2.165%,"8,217,661,768",/market-activity/stocks/aaoi,AAOI
AAON,"AAON, Inc. Common Stock",$111.42,-1.78,-1.572%,"9,126,602,728",/market-activity/stocks/aaon,AAON
AAPL,Apple Inc. Common Stock,$333.74,0.48,0.144%,"4,901,758,191,440",/market-activity/stocks/aapl,AAPL
AARD,"Aardvark Therapeutics, Inc. Common Stock",$5.86,-0.47,-7.425%,"128,241,166",/market-activity/stocks/aard,AARD
ABAT,American Battery Technology Company Common Stock,$2.36,-0.06,-2.479%,"321,938,005",/market-activity/stocks/abat,ABAT
ABEO,Abeona Therapeutics Inc. Common Stock,$7.00,-0.02,-0.285%,"398,966,008",/market-activity/stocks/abeo,ABEO
ABLV,Able View Global Inc. Class B Ordinary Shares,$1.01,-0.02,-1.942%,"49,883,821",/market-activity/stocks/ablv,ABLV
ABNB,"Airbnb, Inc. Class A Common Stock",$145.98,-1.82,-1.231%,"87,982,864,660",/market-activity/stocks/abnb,ABNB
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",$2.25,0.08,3.687%,"162,512,055",/market-activity/stocks/abos,ABOS
ABSI,Absci Corporation Common Stock,$8.295,0.065,0.79%,"1,293,232,440",/market-activity/stocks/absi,ABSI
ABTC,American Bitcoin Corp. Class A Common Stock,$5.44,-0.02,-0.366%,"385,519,456",/market-activity/stocks/abtc,ABTC
ABTS,Abits Group Inc Ordinary Shares,$1.19,-0.04,-3.252%,"3,524,122",/market-activity/stocks/abts,ABTS
ABUS,Arbutus Biopharma Corporation Common Stock,$4.56,-0.18,-3.797%,"900,771,958",/market-activity/stocks/abus,ABUS
ABVC,"ABVC BioPharma, Inc. Common Stock",$1.25,0.04,3.306%,"32,500,553",/market-activity/stocks/abvc,ABVC
ACAA,Averin Capital Acquisition Corp. Class A Ordinary Shares,$10.00,UNCH,--,NA,/market-activity/stocks/acaa,ACAA
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$25.60,-0.03,-0.117%,"4,383,638,272",/market-activity/stocks/acad,ACAD
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,$1.89,-0.04,-2.073%,"26,271,000",/market-activity/stocks/accl,ACCL
ACDC,ProFrac Holding Corp. Class A Common Stock,$4.80,UNCH,--,"868,419,614",/market-activity/stocks/acdc,ACDC
ACET,"Adicet Bio, Inc. Common Stock",$8.12,-0.10,-1.217%,"75,907,676",/market-activity/stocks/acet,ACET
ACFN,"Acorn Energy, Inc. Common Stock",$20.18,0.41,2.074%,"50,616,646",/market-activity/stocks/acfn,ACFN
ACGC,ACP Holdings Acquisition Corp. Class A Ordinary Shares,$9.94,UNCH,--,NA,/market-activity/stocks/acgc,ACGC
ACGL,Arch Capital Group Ltd. Common Stock,$101.35,1.31,1.309%,"35,410,634,744",/market-activity/stocks/acgl,ACGL
ACHC,"Acadia Healthcare Company, Inc. Common Stock",$34.50,0.89,2.648%,"3,172,862,432",/market-activity/stocks/achc,ACHC
ACIC,American Coastal Insurance Corporation Common Stock,$10.25,-0.12,-1.157%,"496,756,482",/market-activity/stocks/acic,ACIC
ACIU,AC Immune SA Common Stock,$2.20,0.02,0.917%,"223,901,861",/market-activity/stocks/aciu,ACIU
ACIW,"ACI Worldwide, Inc. Common Stock",$58.07,-0.60,-1.023%,"5,903,487,370",/market-activity/stocks/aciw,ACIW
ACLS,"Axcelis Technologies, Inc. Common Stock",$136.42,-2.92,-2.096%,"4,192,718,229",/market-activity/stocks/acls,ACLS
ACMR,"ACM Research, Inc. Class A Common Stock",$83.92,-0.17,-0.202%,"5,557,591,258",/market-activity/stocks/acmr,ACMR
ACNB,ACNB Corporation Common Stock,$60.45,-1.51,-2.437%,"617,318,060",/market-activity/stocks/acnb,ACNB
ACNT,Ascent Industries Co. Common Stock,$15.29,0.17,1.124%,"138,194,307",/market-activity/stocks/acnt,ACNT
ACOG,Alpha Cognition Inc. Common Stock,$8.50,0.15,1.796%,"185,079,884",/market-activity/stocks/acog,ACOG
ACON,"Aclarion, Inc. Common Stock",$2.58,-0.06,-2.273%,"6,352,605",/market-activity/stocks/acon,ACON
ACRS,"Aclaris Therapeutics, Inc. Common Stock",$5.68,0.32,5.97%,"793,289,702",/market-activity/stocks/acrs,ACRS
ACRV,"Acrivon Therapeutics, Inc. Common Stock",$1.75,UNCH,--,"74,903,026",/market-activity/stocks/acrv,ACRV
ACT,"Enact Holdings, Inc. Common Stock",$46.52,-0.03,-0.064%,"6,494,226,657",/market-activity/stocks/act,ACT
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$4.54,0.07,1.566%,"438,514,659",/market-activity/stocks/actg,ACTG
ACTU,"Actuate Therapeutics, Inc. Common stock",$1.44,-0.22,-13.253%,"34,453,227",/market-activity/stocks/actu,ACTU
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",$1.55,-0.04,-2.516%,"6,661,494",/market-activity/stocks/acxp,ACXP
ADAC,American Drive Acquisition Company Class A Ordinary Shares,$10.02,UNCH,--,NA,/market-activity/stocks/adac,ADAC
