策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,AAL,48.369111655753066,836483111.4121914,-6.3164493016825585,30.26086558466372,-0.04404264054980178,2514,12,16.67,0.656,-21.42,-9.015499999999987
高流动性－低波动,AAPL,24.44762656435877,12262379510.047913,11.989523605885054,22.172996240183608,10.273171752512567,2514,21,47.62,1.73,-6.66,13.290699999999989
高流动性－低波动,ABNB,30.082715731605763,518086996.7399597,2.5068407932212766,1.2484416307368518,4.952265686488699,1405,8,12.5,0.097,-14.13,-16.272600000000004
高流动性－低波动,ACAD,37.042706477686394,37089100.959300995,18.408877834148374,15.107916568933621,11.963473630504318,2514,12,16.67,0.772,-19.75,-6.456299999999993
高流动性－低波动,ACGL,20.86909658330793,191020287.6888275,11.153759744359215,4.732873814130545,6.7264504068955455,2514,13,23.08,0.147,-17.41,-20.0897
高流动性－低波动,ACIW,34.28828706129369,33575150.29067993,31.707869117382526,31.231637728416306,23.863112416992927,2514,14,28.57,1.561,-10.77,12.717099999999991
高流动性－低波动,ACT,22.090907282676923,11399581.888961792,9.742866543007711,7.312576920931124,7.007964445639314,1213,13,23.08,0.107,-10.96,-12.945499999999988
高流动性－低波动,ADBE,36.05388300873687,1318566193.6965942,21.566917169546308,-7.302493655982934,2.8963644996260474,2514,12,25.0,0.26,-14.54,-14.814400000000006
高流动性－低波动,ADI,35.05131928831298,1078955407.5286865,-13.603095167769064,-1.588807053335195,-7.78714601608419,2514,19,31.58,0.747,-14.45,-5.925700000000001
高流动性－低波动,ADP,25.73539357238164,568076848.034668,16.8765166394923,26.565521930924895,12.471087581444905,2514,9,55.56,3.654,-6.02,18.385800000000007
高流动性－低波动,ADSK,33.88618788897694,445576095.5673218,12.65607153665178,-11.802722606230942,-0.4588848645141419,2514,18,27.78,0.764,-12.64,-7.285200000000003
高流动性－低波动,ADUS,30.875416199585988,19969161.71684265,21.532412780753486,20.839928985525557,17.441711895674516,2514,22,18.18,0.554,-33.12,-20.101099999999995
高流动性－低波动,AEP,18.99586950898572,409468952.3262024,3.485000284406903,0.39507999677248495,0.7106291441733914,2514,13,61.54,4.074,-2.7,19.617799999999995
高流动性－低波动,AGNC,20.27850073992265,187242924.3388176,8.092486929930388,2.8414337667496126,5.7413224984637745,2514,14,14.29,0.299,-15.28,-12.178999999999995
高流动性－低波动,AHCO,46.780628859838664,10074994.225883484,13.575134418670775,-13.76868603263307,6.172744324287138,2043,7,28.57,1.482,-14.8,9.149600000000003
高流动性－低波动,ALKS,42.27260940565956,62554635.811042786,17.181594251720323,56.253700646225965,17.619239391683973,2514,27,25.93,0.553,-43.48,-26.830600000000004
高流动性－低波动,ALKT,50.56332129343517,27719764.682769775,22.002721219954722,2.342856270926341,6.437348412397692,1321,7,28.57,1.307,-7.76,4.105599999999998
高流动性－低波动,ALNY,37.89597253256199,410088577.8579712,-3.8189058423675815,-13.880477563074301,-9.108579783153415,2514,14,7.14,0.427,-12.43,-16.239099999999993
高流动性－低波动,ALRM,31.06203932725035,19648002.883148193,19.87381586874486,14.977307621817815,14.736032638979179,2514,10,0.0,0.0,-23.05,-24.970100000000006
高流动性－低波动,AMGN,27.297570335807244,802687676.0925293,8.498223318340003,5.888643133232008,5.710974459106399,2514,10,20.0,1.039,-7.61,0.4521999999999915
高流动性－低波动,AMRX,32.915562403454025,19719285.261535645,10.117220170407082,39.23557571281575,19.457924434900022,2060,15,6.67,0.246,-21.8,-23.071200000000005
高流动性－低波动,AMZN,31.183050614809076,9858897558.968353,1.1620755124936988,-3.1837425060230684,-1.944610365166699,2514,20,35.0,1.132,-6.6,1.5463999999999922
高流动性－低波动,ANDE,34.80881989086351,17178185.56289673,11.260876868301795,4.4005220958418745,11.047266417672375,2514,19,10.53,0.127,-28.9,-29.834300000000002
高流动性－低波动,APA,45.5947805956614,173019363.15422058,6.630343694650498,-7.461902391261843,-1.6997371732252686,2514,14,28.57,0.91,-15.14,-2.165499999999998
高流动性－低波动,APEI,44.62411846672701,10070847.212791443,-3.812598804419487,-15.875912223991328,-5.550735299591636,2514,8,37.5,2.534,-8.46,18.625800000000005
高流动性－低波动,APPF,44.950076963286755,61858403.0128479,18.633660546230413,13.458740971249217,9.806923369828159,2514,17,41.18,2.578,-6.23,39.2719
高流动性－低波动,ARCB,49.453231979393244,27733510.683441162,10.5721987880385,34.91768820257899,12.775426671846656,2514,15,33.33,3.609,-7.04,66.167
