策略特征组,标的数,日收益_P90_%,日收益_P95_%,建议信号下限候选_%,建议信号带宽候选_%,建议止损候选_%,建议成本压力测试,入场日候选,趋势SMA候选
中流动性－中波动,325,4.8909346992808365,7.03517851839125,"3.0, 4.0, 5.0","1.0, 1.5","3.0, 4.0, 5.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
中流动性－低波动,288,2.4621292693717023,3.4444246610686116,"1.5, 2.0, 2.5","0.5, 1.0","1.5, 2.0, 2.5",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
中流动性－高波动,280,7.826090021259691,11.930641195754925,"5.0, 6.0, 7.0","1.5, 2.5","5.0, 7.0, 9.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
低流动性－中波动,221,4.733723135940626,7.237724243477239,"3.0, 4.0, 5.0","1.0, 1.5","3.0, 4.0, 5.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
低流动性－低波动,162,1.678454225666331,2.795409063975051,"1.5, 2.0, 2.5","0.5, 1.0","1.5, 2.0, 2.5",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
低流动性－高波动,510,7.042253521126751,11.561683001228277,"5.0, 6.0, 7.0","1.5, 2.5","5.0, 7.0, 9.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
历史不足1年（不进入主验证）,272,4.318375069923697,7.892509211359883,不进入主搜索,不进入主搜索,不进入主搜索,不进入主搜索,不进入主搜索,不进入主搜索
高流动性－中波动,347,4.7398960734694695,6.6744410173240665,"3.0, 4.0, 5.0","1.0, 1.5","3.0, 4.0, 5.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
高流动性－低波动,443,2.552579806159812,3.5948632397454707,"1.5, 2.0, 2.5","0.5, 1.0","1.5, 2.0, 2.5",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
高流动性－高波动,103,8.08080825873513,11.852755474327337,"5.0, 6.0, 7.0","1.5, 2.5","5.0, 7.0, 9.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10"
