symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
AACB,data/nasdaq_10y/AACB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,0,10000,10000.0,0.0,,,,,,,,,,,,
AACB,data/nasdaq_10y/AACB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,0,10000,10000.0,0.0,,,,,,,,,,,,
AACP,data/nasdaq_10y/AACP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,0,10000,10000.0,0.0,,,,,,,,,,,,
AACP,data/nasdaq_10y/AACP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,0,10000,10000.0,0.0,,,,,,,,,,,,
AAL,data/nasdaq_10y/AAL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,42,10000,9139.96,-860.04,33.33,-0.136,3.706,-2.057,1.801,0.839,-26.77,3.67,15.347,-6.687,4481.96,5341.98
AAL,data/nasdaq_10y/AAL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,42,10000,9427.03,-572.97,33.33,-0.136,3.706,-2.057,1.801,0.901,-27.77,3.67,15.347,-6.687,5187.87,5760.84
AAME,data/nasdaq_10y/AAME.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,31,10000,4909.6,-5090.4,6.45,-2.257,2.554,-2.588,0.987,0.073,-49.09,1.9,2.857,-5.263,398.51,5488.98
AAME,data/nasdaq_10y/AAME.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,31,10000,3004.28,-6995.72,6.45,-2.257,2.554,-2.588,0.987,0.068,-68.84,1.9,2.857,-5.263,510.71,7506.43
AAOI,data/nasdaq_10y/AAOI.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,48,10000,29942.74,19942.74,29.17,3.361,17.076,-2.287,7.467,3.021,-36.45,3.02,119.211,-7.767,29809.77,9867.27
AAOI,data/nasdaq_10y/AAOI.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,48,10000,26131.6,16131.6,29.17,3.361,17.076,-2.287,7.467,3.075,-31.45,3.02,119.211,-7.767,23907.09,7775.49
AAON,data/nasdaq_10y/AAON.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,55,10000,9417.98,-582.02,27.27,-0.061,4.387,-1.729,2.537,0.914,-19.55,3.69,10.482,-4.311,6152.97,6734.58
AAON,data/nasdaq_10y/AAON.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,55,10000,9665.14,-334.86,27.27,-0.061,4.387,-1.729,2.537,0.952,-19.37,3.69,10.482,-4.311,6581.06,6915.92
AAPL,data/nasdaq_10y/AAPL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,45,10000,11825.75,1825.75,40.0,0.43,3.592,-1.679,2.14,1.344,-10.52,4.8,15.083,-3.67,7133.18,5307.34
AAPL,data/nasdaq_10y/AAPL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,45,10000,11933.39,1933.39,40.0,0.43,3.592,-1.679,2.14,1.427,-9.04,4.8,15.083,-3.67,6466.49,4533.1
AARD,data/nasdaq_10y/AARD.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,3,10000,9411.92,-588.08,0.0,-2.0,,-2.0,,0.0,-3.96,1.33,-2.0,-2.0,0.0,588.08
AARD,data/nasdaq_10y/AARD.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,3,10000,9400.0,-600.0,0.0,-2.0,,-2.0,,0.0,-4.08,1.33,-2.0,-2.0,0.0,600.0
ABAT,data/nasdaq_10y/ABAT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,35,10000,45117.78,35117.78,14.29,7.472,66.999,-2.449,27.357,3.539,-27.3,1.94,144.144,-6.25,48946.92,13829.7
ABAT,data/nasdaq_10y/ABAT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,35,10000,36152.18,26152.18,14.29,7.472,66.999,-2.449,27.357,4.559,-21.86,1.94,144.144,-6.25,33499.57,7347.39
ABEO,data/nasdaq_10y/ABEO.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,39,10000,24197.49,14197.49,28.21,2.993,15.386,-1.876,8.203,2.083,-15.58,3.15,76.0,-2.79,27302.68,13105.36
ABEO,data/nasdaq_10y/ABEO.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,39,10000,21672.94,11672.94,28.21,2.993,15.386,-1.876,8.203,3.223,-7.04,3.15,76.0,-2.79,16924.63,5251.69
ABLV,data/nasdaq_10y/ABLV.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,8,10000,6993.21,-3006.79,0.0,-4.317,,-4.317,,0.0,-28.64,1.25,-2.0,-10.519,0.0,3006.82
ABLV,data/nasdaq_10y/ABLV.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,8,10000,6546.46,-3453.54,0.0,-4.317,,-4.317,,0.0,-33.2,1.25,-2.0,-10.519,0.0,3453.54
ABNB,data/nasdaq_10y/ABNB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,27,10000,8230.43,-1769.57,25.93,-0.684,2.79,-1.9,1.469,0.496,-19.28,3.19,8.008,-4.495,1741.61,3511.3
ABNB,data/nasdaq_10y/ABNB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,27,10000,8153.67,-1846.33,25.93,-0.684,2.79,-1.9,1.469,0.514,-20.07,3.19,8.008,-4.495,1952.73,3799.06
ABOS,data/nasdaq_10y/ABOS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,20,10000,11526.77,1526.77,15.0,1.083,18.293,-1.954,9.36,1.421,-13.91,2.05,40.704,-2.655,5155.87,3629.15
ABOS,data/nasdaq_10y/ABOS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,20,10000,12165.43,2165.43,15.0,1.083,18.293,-1.954,9.36,1.652,-15.12,2.05,40.704,-2.655,5487.91,3322.48
ABSI,data/nasdaq_10y/ABSI.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,24,10000,10284.1,284.1,8.33,1.098,42.297,-2.648,15.975,1.06,-40.07,2.17,82.334,-10.123,5039.57,4755.56
ABSI,data/nasdaq_10y/ABSI.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,24,10000,12634.41,2634.41,8.33,1.098,42.297,-2.648,15.975,1.452,-51.01,2.17,82.334,-10.123,8459.43,5825.02
ABTC,data/nasdaq_10y/ABTC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,18,10000,12263.67,2263.67,5.56,2.286,77.907,-2.162,36.027,1.535,-17.32,1.39,77.907,-4.762,6495.48,4231.79
ABTC,data/nasdaq_10y/ABTC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,18,10000,14114.51,4114.51,5.56,2.286,77.907,-2.162,36.027,2.119,-16.33,1.39,77.907,-4.762,7790.7,3676.19
ABTS,data/nasdaq_10y/ABTS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,23,10000,13333.87,3333.87,13.04,2.297,36.637,-2.854,12.839,1.333,-41.57,2.3,68.182,-7.822,13345.72,10011.78
ABTS,data/nasdaq_10y/ABTS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,23,10000,15284.14,5284.14,13.04,2.297,36.637,-2.854,12.839,1.926,-25.6,2.3,68.182,-7.822,10991.21,5707.07
