symbol,band_lo,band_hi,stop_pct,sma_n,entry_lag,stop_intraday,cost_bps,hard_stop_days,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
NVDA,0.015,0.025,0.02,5,1,True,0.0,"2,3",复利,178,10000,81829.1,71829.1,42.13,1.339,5.834,-1.934,3.017,2.288,-29.85,4.21,32.162,-7.685,127588.54,55763.72
NVDA,0.02,0.025,0.02,5,1,True,0.0,"2,3",复利,92,10000,30319.73,20319.73,40.22,1.368,6.204,-1.886,3.289,2.262,-19.12,4.09,30.834,-7.685,36421.84,16101.85
NVDA,0.02,0.025,0.02,5,2,True,0.0,"3,4",复利,91,10000,30448.02,20448.02,36.26,1.383,7.038,-1.835,3.836,2.21,-26.11,4.23,26.261,-4.847,37341.57,16894.11
NVDA,0.02,0.03,0.02,5,2,True,0.0,"3,4",复利,135,10000,67462.01,57462.01,36.3,1.623,7.681,-1.829,4.2,2.182,-30.03,4.3,42.105,-4.847,106055.49,48595.24
NVDA,0.02,0.03,0.02,5,1,True,0.0,"2,3",复利,139,10000,47309.21,37309.21,38.13,1.281,6.389,-1.867,3.421,2.16,-31.65,4.12,30.834,-7.685,69484.26,32175.98
NVDA,0.025,0.03,0.02,5,2,True,0.0,"3,4",复利,59,10000,25037.54,15037.54,37.29,1.811,7.854,-1.782,4.407,2.156,-15.16,4.22,42.105,-3.69,28043.22,13005.88
NVDA,0.02,0.03,0.03,5,1,True,0.0,"2,3",复利,135,10000,67240.84,57240.84,42.96,1.654,7.102,-2.45,2.899,2.11,-34.42,4.74,41.656,-7.685,108787.79,51547.36
NVDA,0.025,0.03,0.02,5,3,True,0.0,"4,5",复利,60,10000,22050.63,12050.63,40.0,1.501,6.474,-1.815,3.567,2.087,-11.41,4.18,31.979,-3.1,23134.6,11083.59
NVDA,0.02,0.025,0.03,5,1,True,0.0,"2,3",复利,90,10000,31218.84,21218.84,43.33,1.462,6.605,-2.471,2.673,2.062,-25.36,4.59,30.834,-7.685,41200.77,19981.88
NVDA,0.015,0.025,0.03,5,1,True,0.0,"2,3",复利,173,10000,87816.68,77816.68,46.24,1.446,6.084,-2.545,2.391,2.01,-41.59,4.82,32.162,-7.685,154857.51,77045.82
NVDA,0.025,0.03,0.03,5,1,True,0.0,"2,3",复利,59,10000,22990.49,12990.49,38.98,1.695,7.975,-2.316,3.443,1.903,-21.64,4.71,41.656,-4.847,27373.96,14383.44
NVDA,0.02,0.025,0.03,5,2,True,0.0,"3,4",复利,90,10000,26784.04,16784.04,38.89,1.266,6.885,-2.309,2.981,1.9,-31.53,4.57,26.261,-4.9,35421.14,18637.83
NVDA,0.025,0.03,0.03,5,2,True,0.0,"3,4",复利,59,10000,23445.23,13445.23,40.68,1.708,7.38,-2.182,3.382,1.889,-19.19,4.68,42.105,-4.728,28563.46,15118.88
NVDA,0.02,0.03,0.03,5,2,True,0.0,"3,4",复利,133,10000,56261.44,46261.44,39.1,1.521,7.476,-2.302,3.247,1.853,-35.37,4.67,42.105,-4.9,100481.47,54222.27
NVDA,0.025,0.03,0.03,5,3,True,0.0,"4,5",复利,60,10000,20930.36,10930.36,41.67,1.421,6.429,-2.155,2.983,1.838,-13.35,4.62,31.979,-3.701,23981.39,13050.85
NVDA,0.025,0.03,0.02,5,1,True,0.0,"2,3",复利,60,10000,17139.73,7139.73,33.33,1.056,6.907,-1.87,3.694,1.763,-17.02,4.07,29.627,-4.847,16501.46,9362.01
NVDA,0.02,0.03,0.02,5,3,True,0.0,"4,5",复利,131,10000,43683.79,33683.79,41.22,1.283,6.01,-2.031,2.959,1.69,-23.9,4.11,31.979,-12.495,82482.89,48799.42
NVDA,0.015,0.025,0.03,5,2,True,0.0,"3,4",复利,170,10000,41042.06,31042.06,40.0,0.98,5.926,-2.317,2.557,1.635,-44.06,4.55,26.261,-6.865,79959.35,48917.35
NVDA,0.02,0.025,0.02,5,3,True,0.0,"4,5",复利,89,10000,21955.11,11955.11,40.45,1.015,5.638,-2.125,2.653,1.605,-23.52,3.87,18.355,-12.495,31730.38,19775.76
NVDA,0.015,0.025,0.02,5,2,True,0.0,"3,4",复利,172,10000,37420.68,27420.68,33.72,0.906,6.508,-1.944,3.348,1.584,-42.92,4.05,26.261,-6.865,74339.4,46918.96
NVDA,0.015,0.025,0.02,5,3,True,0.0,"4,5",复利,167,10000,40076.81,30076.81,39.52,0.964,5.506,-2.004,2.747,1.57,-33.46,3.9,29.821,-12.495,82839.2,52762.48
NVDA,0.02,0.03,0.03,5,3,True,0.0,"4,5",复利,131,10000,41389.16,31389.16,44.27,1.255,5.909,-2.444,2.418,1.557,-34.46,4.53,31.979,-12.495,87765.42,56377.49
NVDA,0.02,0.025,0.03,5,3,True,0.0,"4,5",复利,89,10000,21937.01,11937.01,44.94,1.028,5.451,-2.582,2.111,1.527,-31.55,4.36,18.355,-12.495,34567.11,22630.9
NVDA,0.015,0.025,0.03,5,3,True,0.0,"4,5",复利,164,10000,48833.78,38833.78,45.12,1.12,5.533,-2.507,2.207,1.494,-42.35,4.5,29.821,-12.495,117485.91,78652.76
TESLA,0.025,0.03,0.03,5,3,True,0.0,"4,5",复利,70,10000,21105.28,11105.28,40.0,1.296,7.028,-2.525,2.783,1.731,-28.36,4.19,38.973,-10.217,26304.22,15199.13
TESLA,0.025,0.03,0.02,5,3,True,0.0,"4,5",复利,70,10000,19710.07,9710.07,34.29,1.188,7.647,-2.182,3.504,1.73,-28.11,3.69,38.973,-10.217,23015.14,13305.46
TESLA,0.025,0.03,0.04,5,3,True,0.0,"4,5",复利,69,10000,22759.92,12759.92,43.48,1.46,7.407,-3.115,2.378,1.665,-27.34,4.59,38.973,-10.217,31954.61,19195.03
TESLA,0.02,0.03,0.03,5,2,True,0.0,"3,4",复利,129,10000,57488.09,47488.09,38.76,1.729,9.091,-2.93,3.103,1.623,-28.42,4.51,65.663,-9.463,123773.75,76285.69
TESLA,0.02,0.03,0.02,5,2,True,0.0,"3,4",复利,132,10000,42244.1,32244.1,31.82,1.435,9.662,-2.404,4.019,1.582,-36.22,3.77,65.663,-9.463,87628.03,55383.15
