symbol,mode,signal,entry,exit,days_held,entry_px,exit_px,ret_pct,pnl_eur,reason
NVDA,复利,2010-04-13,2010-04-15,2010-04-16,1,0.4123,0.3956,-4.153,-415.33,t3 日内止损
NVDA,复利,2010-06-11,2010-06-15,2010-06-16,1,0.2729,0.2674,-2.1,-201.28,t3 日内止损
NVDA,复利,2010-08-25,2010-08-27,2010-08-30,1,0.2317,0.227,-2.1,-197.05,t3 日内止损
NVDA,复利,2010-09-23,2010-09-27,2010-09-28,1,0.2747,0.2692,-2.1,-192.91,t3 日内止损
NVDA,复利,2010-11-02,2010-11-04,2010-11-11,5,0.2839,0.2887,1.594,143.31,收盘价低于 SMA5
NVDA,复利,2011-02-01,2011-02-03,2011-02-07,2,0.5746,0.5631,-2.1,-191.87,t4 日内止损
NVDA,复利,2011-02-24,2011-02-28,2011-03-01,1,0.5188,0.5084,-2.1,-187.84,t3 日内止损
NVDA,复利,2011-03-23,2011-03-25,2011-03-30,3,0.4265,0.4224,-1.066,-93.37,收盘价低于入场价
NVDA,复利,2011-04-13,2011-04-15,2011-04-18,1,0.4283,0.4183,-2.452,-212.4,t3 日内止损
NVDA,复利,2011-05-09,2011-05-11,2011-05-13,2,0.4549,0.4395,-3.472,-293.42,t4 日内止损
NVDA,复利,2011-05-18,2011-05-20,2011-05-23,1,0.4141,0.4059,-2.1,-171.31,t3 日内止损
NVDA,复利,2011-06-21,2011-06-23,2011-06-24,1,0.3711,0.3637,-2.1,-167.72,t3 日内止损
NVDA,复利,2011-09-06,2011-09-08,2011-09-09,1,0.3246,0.3181,-2.1,-164.19,t3 日内止损
NVDA,复利,2011-09-12,2011-09-14,2011-09-19,3,0.3498,0.3466,-1.016,-77.79,收盘价低于入场价
NVDA,复利,2011-09-23,2011-09-27,2011-09-28,1,0.3168,0.3105,-2.1,-159.11,t3 日内止损
NVDA,复利,2012-03-28,2012-03-30,2012-04-03,2,0.3526,0.3455,-2.1,-155.77,t4 日内止损
