symbol,mode,signal,entry,exit,days_held,entry_px,exit_px,ret_pct,pnl_eur,reason
NVDA,固定仓位,2010-02-05,2010-02-10,2010-02-18,5,0.3748,0.3816,1.833,183.26,收盘价低于 SMA5
NVDA,固定仓位,2010-02-24,2010-03-01,2010-03-03,2,0.3857,0.378,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2010-05-21,2010-05-26,2010-06-01,3,0.2919,0.288,-1.333,-133.34,收盘价低于入场价
NVDA,固定仓位,2010-06-11,2010-06-16,2010-06-21,3,0.2694,0.2749,2.039,203.9,收盘价低于 SMA5
NVDA,固定仓位,2010-09-23,2010-09-28,2010-09-30,2,0.274,0.2685,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2010-11-02,2010-11-05,2010-11-11,4,0.2887,0.2887,0.0,0.0,收盘价低于 SMA5
NVDA,固定仓位,2011-02-01,2011-02-04,2011-02-07,1,0.5877,0.5759,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2011-03-23,2011-03-28,2011-03-29,1,0.4423,0.4334,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2011-04-13,2011-04-18,2011-04-19,1,0.4141,0.4059,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2011-05-09,2011-05-12,2011-05-13,1,0.4693,0.4395,-6.341,-634.15,t4 日内止损
NVDA,固定仓位,2011-05-18,2011-05-23,2011-06-01,6,0.4137,0.4382,5.921,592.15,收盘价低于 SMA5
NVDA,固定仓位,2011-09-06,2011-09-09,2011-09-19,6,0.3178,0.3466,9.078,907.78,收盘价低于 SMA5
NVDA,固定仓位,2012-02-03,2012-02-08,2012-02-10,2,0.3734,0.3659,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2012-03-28,2012-04-02,2012-04-03,1,0.3509,0.3439,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2012-05-23,2012-05-29,2012-05-30,1,0.2912,0.2854,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2012-06-15,2012-06-20,2012-06-21,1,0.3079,0.3018,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2012-08-03,2012-08-08,2012-08-14,4,0.3258,0.334,2.53,252.98,收盘价低于 SMA5
NVDA,固定仓位,2013-06-13,2013-06-18,2013-06-21,3,0.3355,0.336,0.139,13.89,收盘价低于 SMA5
NVDA,固定仓位,2013-09-10,2013-09-13,2013-09-20,5,0.37,0.3698,-0.063,-6.33,收盘价低于入场价
NVDA,固定仓位,2013-11-25,2013-11-29,2013-12-05,4,0.3673,0.3696,0.641,64.11,收盘价低于 SMA5
NVDA,固定仓位,2014-02-11,2014-02-14,2014-02-27,8,0.4217,0.4375,3.761,376.07,收盘价低于 SMA5
NVDA,固定仓位,2014-03-18,2014-03-21,2014-03-26,3,0.4385,0.4264,-2.751,-275.08,收盘价低于入场价
NVDA,固定仓位,2014-10-14,2014-10-17,2014-11-07,15,0.4157,0.4723,13.605,1360.5,收盘价低于 SMA5
NVDA,固定仓位,2014-11-18,2014-11-21,2014-12-01,5,0.4901,0.4932,0.636,63.57,收盘价低于 SMA5
NVDA,固定仓位,2015-01-29,2015-02-03,2015-02-19,11,0.4819,0.5316,10.293,1029.34,收盘价低于 SMA5
NVDA,固定仓位,2015-03-02,2015-03-05,2015-03-12,5,0.55,0.5454,-0.831,-83.11,收盘价低于入场价
NVDA,固定仓位,2015-07-28,2015-07-31,2015-08-13,9,0.4822,0.5685,17.895,1789.48,收盘价低于 SMA5
NVDA,固定仓位,2015-11-16,2015-11-19,2015-11-25,4,0.7582,0.7584,0.032,3.21,收盘价低于 SMA5
NVDA,固定仓位,2015-12-21,2015-12-24,2015-12-28,1,0.8081,0.792,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2016-02-17,2016-02-22,2016-02-24,2,0.7679,0.7526,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2016-05-24,2016-05-27,2016-06-03,4,1.1252,1.1395,1.264,126.36,收盘价低于 SMA5
NVDA,固定仓位,2016-07-11,2016-07-14,2016-07-15,1,1.3071,1.281,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2016-08-11,2016-08-16,2016-08-17,1,1.5346,1.504,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2016-09-12,2016-09-15,2016-09-26,7,1.5397,1.5802,2.632,263.2,收盘价低于 SMA5
NVDA,固定仓位,2016-12-15,2016-12-20,2016-12-28,5,2.5869,2.6872,3.879,387.95,收盘价低于 SMA5
NVDA,固定仓位,2017-01-04,2017-01-09,2017-01-11,2,2.6388,2.586,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2017-01-19,2017-01-24,2017-01-31,5,2.64,2.6855,1.724,172.37,收盘价低于 SMA5
NVDA,固定仓位,2017-03-17,2017-03-22,2017-03-28,4,2.6616,2.6522,-0.352,-35.16,收盘价低于入场价
NVDA,固定仓位,2017-05-19,2017-05-24,2017-06-02,6,3.4163,3.5413,3.659,365.88,收盘价低于 SMA5
NVDA,固定仓位,2017-07-07,2017-07-12,2017-07-13,1,4.0065,3.9264,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2017-08-22,2017-08-25,2017-09-05,6,4.0421,4.094,1.282,128.2,收盘价低于 SMA5
NVDA,固定仓位,2017-09-27,2017-10-02,2017-10-20,14,4.417,4.8587,10.0,1000.0,收盘价低于 SMA5
NVDA,固定仓位,2018-01-17,2018-01-22,2018-02-01,8,5.7705,5.9386,2.914,291.41,收盘价低于 SMA5
NVDA,固定仓位,2018-02-13,2018-02-16,2018-02-22,3,6.0211,5.9831,-0.631,-63.14,收盘价低于入场价
NVDA,固定仓位,2018-05-23,2018-05-29,2018-06-07,7,6.146,6.4998,5.756,575.65,收盘价低于 SMA5
NVDA,固定仓位,2018-07-02,2018-07-06,2018-07-11,3,6.1149,6.1198,0.081,8.09,收盘价低于 SMA5
NVDA,固定仓位,2018-08-21,2018-08-24,2018-09-05,7,6.7302,6.8873,2.334,233.35,收盘价低于 SMA5
NVDA,固定仓位,2019-01-02,2019-01-07,2019-01-08,1,3.5508,3.4798,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2019-01-11,2019-01-16,2019-01-22,3,3.6855,3.6838,-0.047,-4.7,收盘价低于入场价
NVDA,固定仓位,2020-02-26,2020-03-02,2020-03-03,1,6.8757,6.7382,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2020-05-07,2020-05-12,2020-05-13,1,7.763,7.6077,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2020-07-06,2020-07-09,2020-07-13,2,10.4605,10.2513,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2020-07-27,2020-07-30,2020-08-07,6,10.5651,11.1479,5.516,551.63,收盘价低于 SMA5
NVDA,固定仓位,2020-09-30,2020-10-05,2020-10-09,4,13.5837,13.7034,0.881,88.14,收盘价低于 SMA5
NVDA,固定仓位,2020-11-25,2020-12-01,2020-12-08,5,13.3322,13.2963,-0.269,-26.93,收盘价低于入场价
NVDA,固定仓位,2020-12-14,2020-12-17,2020-12-18,1,13.2876,13.0219,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2021-02-02,2021-02-05,2021-02-17,7,13.5364,14.8461,9.676,967.55,收盘价低于 SMA5
NVDA,固定仓位,2021-03-26,2021-03-31,2021-04-19,12,13.2992,15.3053,15.084,1508.44,收盘价低于 SMA5
NVDA,固定仓位,2021-06-22,2021-06-25,2021-07-08,8,18.9654,19.8341,4.581,458.07,收盘价低于 SMA5
NVDA,固定仓位,2021-08-04,2021-08-09,2021-08-10,1,20.225,19.8205,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2021-10-28,2021-11-02,2021-11-10,6,26.3146,29.3626,11.583,1158.29,收盘价低于 SMA5
NVDA,固定仓位,2021-12-02,2021-12-07,2021-12-08,1,32.3249,31.6784,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2022-01-26,2022-01-31,2022-02-01,1,24.4089,23.9207,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2022-07-18,2022-07-21,2022-07-22,1,18.0,17.64,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2022-09-16,2022-09-21,2022-09-22,1,13.2282,12.9637,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2022-10-21,2022-10-26,2022-11-02,5,12.8641,13.1863,2.505,250.46,收盘价低于 SMA5
NVDA,固定仓位,2022-11-08,2022-11-11,2022-11-14,1,16.2866,15.9609,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2023-02-13,2023-02-16,2023-02-17,1,21.9532,21.5142,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2023-03-03,2023-03-08,2023-03-09,1,24.1315,23.6489,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2023-03-29,2023-04-03,2023-04-04,1,27.9077,27.3496,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2023-05-15,2023-05-18,2023-05-19,1,31.6131,30.9809,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2023-07-25,2023-07-28,2023-08-02,3,46.6591,44.1829,-5.307,-530.69,收盘价低于入场价
NVDA,固定仓位,2023-10-06,2023-10-11,2023-10-13,2,46.7188,45.7845,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2023-12-05,2023-12-08,2023-12-11,1,47.4217,46.4733,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2023-12-12,2023-12-15,2023-12-20,3,48.8032,48.0256,-1.593,-159.34,收盘价低于入场价
NVDA,固定仓位,2024-01-05,2024-01-10,2024-01-31,14,54.2536,61.4178,13.205,1320.51,收盘价低于 SMA5
NVDA,固定仓位,2024-02-01,2024-02-06,2024-02-16,8,68.102,72.4842,6.435,643.48,收盘价低于 SMA5
NVDA,固定仓位,2024-05-20,2024-05-23,2024-05-31,5,103.6197,109.4436,5.62,562.05,收盘价低于 SMA5
NVDA,固定仓位,2024-10-07,2024-10-10,2024-10-15,3,134.5997,131.3947,-2.381,-238.11,收盘价低于入场价
NVDA,固定仓位,2024-11-29,2024-12-04,2024-12-06,2,144.9136,142.0153,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2025-01-21,2025-01-24,2025-01-27,1,142.4073,124.6139,-12.495,-1249.47,t4 日内止损
NVDA,固定仓位,2025-04-22,2025-04-25,2025-04-28,1,110.8547,108.6376,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2025-05-01,2025-05-06,2025-05-20,10,113.3811,134.1919,18.355,1835.48,收盘价低于 SMA5
NVDA,固定仓位,2025-07-23,2025-07-28,2025-08-01,4,176.5149,173.4889,-1.714,-171.43,收盘价低于入场价
NVDA,固定仓位,2025-09-29,2025-10-02,2025-10-06,2,188.6494,184.8764,-2.0,-200.0,t5 日内止损
NVDA,固定仓位,2025-10-24,2025-10-29,2025-10-30,1,206.7763,202.6408,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2025-12-04,2025-12-09,2025-12-11,2,184.7447,180.0604,-2.536,-253.56,t5 日内止损
NVDA,固定仓位,2026-04-08,2026-04-13,2026-04-21,6,189.0896,199.6473,5.583,558.34,收盘价低于 SMA5
NVDA,固定仓位,2026-06-11,2026-06-16,2026-06-17,1,207.41,203.2618,-2.0,-200.0,t4 日内止损
TESLA,固定仓位,2010-08-16,2010-08-19,2010-08-27,6,1.2527,1.3133,4.843,484.3,收盘价低于 SMA5
TESLA,固定仓位,2010-09-13,2010-09-16,2010-09-17,1,1.396,1.3541,-3.0,-300.0,t4 日内止损
TESLA,固定仓位,2010-09-24,2010-09-29,2010-09-30,1,1.4653,1.4214,-3.0,-300.0,t4 日内止损
TESLA,固定仓位,2010-10-20,2010-10-25,2010-11-02,6,1.39,1.4167,1.918,191.85,收盘价低于 SMA5
TESLA,固定仓位,2010-11-03,2010-11-08,2010-11-09,1,1.6653,1.6154,-3.0,-300.0,t4 日内止损
TESLA,固定仓位,2011-03-28,2011-03-31,2011-04-01,1,1.85,1.7945,-3.0,-300.0,t4 日内止损
TESLA,固定仓位,2011-04-20,2011-04-26,2011-05-03,5,1.7953,1.7913,-0.223,-22.28,收盘价低于入场价
TESLA,固定仓位,2011-06-28,2011-07-01,2011-07-08,4,1.9347,1.9207,-0.724,-72.36,收盘价低于入场价
