进场阈值,离场阈值,阈值差,校准段起始日,校准段截止日,检验段起始日（未使用）,校准段累计收益,校准段年化收益,校准段最大回撤,校准段信号次数,校准段胜率,校准段平均持有天数,校准段等权大盘累计收益,校准段等权大盘年化收益,校准段等权大盘最大回撤,校准段朴素动量累计收益,校准段朴素动量年化收益,校准段朴素动量最大回撤,信号样本至少二十次
50.0,30.0,20.0,2016-10-12,2023-08-09,2023-08-10,195.12996994492107,17.189686152602146,-35.02497554405988,314,48.72611464968153,8.044585987261147,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
50.0,35.0,15.0,2016-10-12,2023-08-09,2023-08-10,155.8793712020531,14.76390854488523,-37.42002523284754,325,47.38461538461539,5.876923076923077,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
50.0,40.0,10.0,2016-10-12,2023-08-09,2023-08-10,-8.1851506549101,-1.2438424479124355,-41.8519424856839,332,45.18072289156627,4.662650602409639,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
50.0,45.0,5.0,2016-10-12,2023-08-09,2023-08-10,-15.573916458737113,-2.4507906835306126,-42.13030874650454,338,46.15384615384615,3.2455621301775146,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
55.0,35.0,20.0,2016-10-12,2023-08-09,2023-08-10,153.1445561565206,14.583303655205082,-34.272079808910746,296,47.97297297297297,5.952702702702703,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
55.0,40.0,15.0,2016-10-12,2023-08-09,2023-08-10,13.02245016662107,1.81043678593662,-38.30873566070394,300,45.0,4.786666666666667,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
55.0,45.0,10.0,2016-10-12,2023-08-09,2023-08-10,-9.258234291439782,-1.4138637159886835,-41.386634108287545,306,46.07843137254902,3.2941176470588234,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
55.0,50.0,5.0,2016-10-12,2023-08-09,2023-08-10,-13.3021905195156,-2.0704155756036124,-40.32755701243622,306,46.73202614379085,2.8790849673202614,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
60.0,40.0,20.0,2016-10-12,2023-08-09,2023-08-10,2.7409634029564867,0.39711956666406145,-39.75234138679385,261,45.21072796934866,4.724137931034483,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
60.0,45.0,15.0,2016-10-12,2023-08-09,2023-08-10,-15.322512979576475,-2.4082691030152037,-40.77900631965029,267,45.31835205992509,3.310861423220974,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
60.0,50.0,10.0,2016-10-12,2023-08-09,2023-08-10,-19.781309254336165,-3.1789553925247183,-39.708950078275265,267,45.69288389513109,2.8876404494382024,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
60.0,55.0,5.0,2016-10-12,2023-08-09,2023-08-10,1.4923026391676197,0.21734522461684946,-29.238288759083233,268,47.01492537313433,2.6194029850746268,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
65.0,45.0,20.0,2016-10-12,2023-08-09,2023-08-10,-20.15410845181622,-3.2450360277132995,-42.74815856112421,232,46.12068965517241,3.3491379310344827,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
65.0,50.0,15.0,2016-10-12,2023-08-09,2023-08-10,-23.62508243730811,-3.873261637525083,-41.66186274701671,232,46.12068965517241,2.9008620689655173,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
65.0,55.0,10.0,2016-10-12,2023-08-09,2023-08-10,-4.82844422506199,-0.7227321320518287,-34.05317451274501,233,47.21030042918455,2.6008583690987126,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
65.0,60.0,5.0,2016-10-12,2023-08-09,2023-08-10,-10.373041065525745,-1.5923227551063457,-34.583145280668425,233,47.21030042918455,2.407725321888412,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
70.0,50.0,20.0,2016-10-12,2023-08-09,2023-08-10,-30.098017232679673,-5.11294285693703,-42.740099023641555,186,45.69892473118279,2.956989247311828,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
70.0,55.0,15.0,2016-10-12,2023-08-09,2023-08-10,-6.6310293425291045,-1.0005868923734451,-32.879203501560085,187,48.1283422459893,2.6737967914438503,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
70.0,60.0,10.0,2016-10-12,2023-08-09,2023-08-10,-11.691247712579312,-1.805803147977314,-33.64556851847532,187,47.593582887700535,2.4705882352941178,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
70.0,65.0,5.0,2016-10-12,2023-08-09,2023-08-10,-12.524588379234947,-1.9421679711118522,-29.28166262224312,187,44.919786096256686,2.320855614973262,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
75.0,55.0,20.0,2016-10-12,2023-08-09,2023-08-10,4.0061980303668365,0.5773881223123611,-22.40186568487532,139,51.07913669064749,2.618705035971223,269.9533028179851,21.1358625752569,-40.208349796103846,213.0115409966137,18.20444150655853,-40.61282006736542,True
